m.z	mode	p.value	t.score
283.05276	negative	0.0001361	-4.9806
142.53578	positive	0.00013613	-4.9805
204.1341	positive	0.00013629	4.9799
578.60641	positive	0.00013969	-4.9677
392.7513	negative	0.0001405	4.9648
282.82305	positive	0.00014665	-4.9436
397.2001	positive	0.00014738	-4.9412
457.6754	negative	0.00014814	4.9386
321.80808	negative	0.00014823	-4.9383
232.96098	positive	0.00015057	-4.9306
292.92292	negative	0.00015111	-4.9288
234.95636	positive	0.00015233	-4.9249
608.10118	negative	0.00015261	-4.924
446.05275	negative	0.00015265	4.9238
242.94338	negative	0.00015553	-4.9146
330.75278	positive	0.00015633	-4.9121
415.31739	negative	0.00015635	-4.912
91.05415	positive	0.00015758	-4.9081
103.05412	positive	0.00015916	-4.9032
107.98908	positive	0.00015965	-4.9017
397.98574	negative	0.00016068	4.8985
197.03223	positive	0.00016389	-4.8888
209.55608	positive	0.0001666	-4.8807
793.45804	positive	0.0001668	-4.8801
138.06786	positive	0.00016933	-4.8727
192.93299	positive	0.00017421	-4.8587
614.82313	negative	0.00017431	4.8584
222.84194	negative	0.00017477	-4.8571
282.04932	negative	0.00017477	-4.8571
458.62254	positive	0.00017581	-4.8542
676.3071	negative	0.00017665	4.8519
244.26325	positive	0.00017807	4.8479
381.81119	negative	0.00017901	-4.8453
201.97563	positive	0.00018316	-4.8341
739.98564	negative	0.00018692	4.8241
323.05347	negative	0.00018736	4.823
497.10392	positive	0.00018754	-4.8225
229.97433	positive	0.00018838	-4.8203
158.94869	positive	0.00018905	-4.8185
127.07953	positive	0.00019364	4.8068
145.06172	negative	0.00019364	-4.8068
329.2482	negative	0.00019466	4.8042
409.65544	negative	0.00019471	4.8041
348.06969	positive	0.00019583	-4.8012
582.0278	negative	0.00019717	4.7979
916.32807	positive	0.00019743	-4.7972
526.43075	positive	0.00019858	-4.7944
448.75605	positive	0.0002023	-4.7853
413.64936	negative	0.00020405	4.7811
451.12541	negative	0.00020428	-4.7805
301.21691	negative	0.00020514	4.7785
265.01958	positive	0.00020661	-4.775
284.90959	positive	0.00020661	4.775
464.75036	positive	0.00020848	4.7706
846.43865	positive	0.00020947	-4.7682
337.98313	positive	0.00020968	-4.7677
98.97368	negative	0.00020974	-4.7676
347.03962	negative	0.00021256	-4.7611
194.94641	negative	0.00021345	-4.759
529.04135	positive	0.00021851	-4.7476
450.66411	positive	0.00022196	-4.7399
176.93582	negative	0.0002224	-4.7389
496.33924	positive	0.00022271	4.7382
230.13985	positive	0.00022285	4.7379
340.78153	positive	0.00022845	-4.7258
218.98391	positive	0.00022874	-4.7252
307.11187	negative	0.00022898	-4.7247
513.12134	negative	0.00022906	-4.7245
93.60182	positive	0.0002291	4.7244
259.80774	negative	0.00022924	-4.7241
537.23454	positive	0.00022973	-4.7231
286.84261	negative	0.00023167	-4.719
285.90806	negative	0.00023249	4.7172
1032.24571	positive	0.00023396	-4.7142
532.32637	positive	0.00023516	-4.7117
261.8048	negative	0.00023621	-4.7095
156.09142	positive	0.00023706	-4.7077
526.68353	positive	0.00023856	-4.7047
426.73973	positive	0.00024049	-4.7007
189.05223	positive	0.00024065	-4.7004
472.69592	negative	0.00024201	-4.6976
622.54158	positive	0.0002426	-4.6965
798.41396	positive	0.00024468	-4.6923
876.61116	positive	0.00024504	-4.6916
404.20603	positive	0.00024534	4.691
504.29504	positive	0.00024915	-4.6835
463.06952	positive	0.00024986	4.6821
454.70185	positive	0.00025118	-4.6795
96.05553	positive	0.00025244	4.6771
362.85227	positive	0.0002528	4.6764
94.06506	positive	0.00025291	4.6762
323.0283	negative	0.00025299	-4.676
163.12284	positive	0.00025368	4.6747
343.28514	positive	0.00025478	-4.6726
446.71541	positive	0.00025523	-4.6717
168.06542	positive	0.00025576	4.6707
816.38473	positive	0.00025823	-4.666
406.74724	positive	0.00026175	4.6594
298.95253	positive	0.00026266	-4.6577
403.793	negative	0.000264	-4.6552
433.97566	positive	0.00027284	-4.6392
594.4891	negative	0.00027345	-4.6381
360.64624	negative	0.00027558	4.6344
508.62287	positive	0.00027935	-4.6278
86.06005	positive	0.00028041	4.6259
878.6081	positive	0.00028043	-4.6259
186.03817	negative	0.00028129	-4.6244
275.10756	negative	0.00028135	-4.6243
138.07602	positive	0.00028306	-4.6213
319.811	negative	0.00028425	-4.6193
202.90599	negative	0.00028687	4.6148
257.81076	negative	0.00028725	-4.6142
89.04253	positive	0.00028757	-4.6136
974.28588	positive	0.00029039	-4.6089
452.17336	negative	0.00029044	-4.6088
750.48333	positive	0.00029186	-4.6065
458.41957	positive	0.00029348	-4.6038
690.52834	positive	0.00029363	-4.6035
142.92888	negative	0.00029806	-4.5962
342.79466	positive	0.00029886	-4.5949
522.35487	positive	0.00030221	4.5895
294.86476	positive	0.00030703	4.5818
188.86585	negative	0.00031342	-4.5718
620.54439	positive	0.00031419	-4.5707
177.03147	positive	0.00031651	4.5671
464.64108	positive	0.00031832	-4.5643
