"m.z" "p.value" "t.score" "r.t"
114.9328 0.483900022871305 -1.3836034946948 721.2998
114.9328 0.483900022871305 -1.3836034946948 813.24673
114.9328 0.483900022871305 -1.3836034946948 891.20251
114.9328 0.483900022871305 -1.3836034946948 847.66251
114.93282 0.686656502062337 0.856576881971671 750.905
114.93282 0.686656502062337 0.856576881971671 615.55707
114.98759 0.793800954397804 -0.603966810319809 36.74022
115.0389 0.688180174621886 0.852273126793133 54.46704
115.07521 0.263512208062921 -2.14612657016616 106.32507
115.07522 0.209172753017287 -2.37385683151146 348.7971
115.98833 0.989833727345417 0.0399360842545925 35.81337
116.0494 0.899285896340139 -0.306064273100663 346.7442
116.07009 0.142042346014382 -2.80199565565924 96.5572
116.07041 0.117308528425136 2.95720888558232 43.49149
116.92727 0.96189598824635 -0.125185401424684 524.73016
116.92728 0.644482502763697 -0.964771849035255 618.84314
116.92729 0.836440583809994 0.493464627194328 750.74002
116.92729 0.836440583809994 0.493464627194328 558.54303
116.9273 0.60693054715626 -1.04926982488551 847.38846
116.92731 0.892100205051683 -0.327955115170553 679.68481
116.92731 0.892100205051683 -0.327955115170553 889.99069
116.92731 0.892100205051683 -0.327955115170553 816.41727
116.92741 0.807769944206277 0.563809200562369 947.89124
116.92741 0.807769944206277 0.563809200562369 721.96384
116.92745 0.521009440221096 -1.28266600302695 978.76797
116.97121 0.950359486386907 -0.163620780056375 924.40094
117.03334 0.638209636636468 0.978201882983434 125.25472
117.03356 0.830689231995756 -0.510988562820671 67.82319
117.05463 0.967049359503371 -0.111038304846496 49.8166
117.92739 0.199447189071467 -2.4230759924302 847.95532
117.92739 0.199447189071467 -2.4230759924302 890.44751
117.92741 0.907559120352765 0.279573105735295 750.81113
117.92743 0.81396533339086 0.547547631597064 810.37079
117.92743 0.81396533339086 0.547547631597064 616.44431
117.92744 0.711629469027357 0.795180535981438 558.26868
117.92744 0.711629469027357 0.795180535981438 679.91534
117.92745 0.801026854108329 0.579499854800346 721.27167
