"m.z"	"r.t"	"p.value"	"t.score"
107.0491	278.8	0.351925411	0.933660113
107.0491	100.8	0.734418446	0.340006384
107.0531	130.6	0.872246919	0.161137896
107.0604	30	0.000398064	-3.715147585
107.0702	257.6	0.780470317	-0.279171123
107.0785	125.1	0.085121923	-1.742694792
107.0855	258.2	0.37248553	-0.894454896
107.5173	149.5	0.986616577	0.016801369
107.5411	158.1	0.213662309	1.248662824
107.887	162.3	0.386371639	0.868936693
107.9504	279.9	0.141782934	-1.475932275
107.9667	37.7	0.412391964	0.821727852
107.989	166	0.020488394	2.340265372
107.9977	64.2	0.000125073	-4.05908955
108.0113	89.3	0.881502186	0.149292472
108.0149	171.2	0.546282596	-0.604564706
108.0189	192.2	0.448415879	-0.759809757
108.0228	150.9	0.12042968	-1.560459937
108.0808	274.8	0.699718488	0.386393768
108.4164	88.5	0.000132253	-3.943724686
108.5174	180.7	0.90794407	0.115818139
108.5231	160	0.174898659	-1.362680167
108.5363	158.9	0.423828368	0.801709604
108.5576	150.7	0.071161723	-1.823157344
108.5707	167.6	0.447867505	-0.761336737
108.9487	93.2	0.170792051	1.375253544
109.0224	145.7	0.582392043	-0.550905798
109.0633	106.7	0.180376148	1.345081492
109.0648	266.2	0.860716286	-0.175741962
109.076	73.6	0.072661352	1.805857809
109.1012	247.3	0.245225848	-1.166901031
109.5153	175.6	0.985765682	0.017867756
109.5216	132.9	0.169661055	-1.378893434
109.524	147	0.093312897	1.690068062
109.7121	173.6	0.496525243	-0.681521925
109.9986	154.1	0.209630632	-1.260439553
110.02	146.8	0.762851244	0.302275455
110.0279	165.3	0.737269403	0.336065475
110.0414	149.5	0.07409622	-1.798342473
110.0713	162.4	0.011221416	2.565112381
110.192	92.3	0.826640454	-0.219592016
110.5001	170.7	0.553346553	-0.594249943
110.5186	145.3	0.071721055	-1.812319125
110.5216	146	0.403076125	0.838164993
110.9533	189.1	0.926390811	-0.092551969
110.9639	184.9	0.746332046	-0.324158036
110.9876	90.7	0.261454407	1.127808781
110.9985	151.5	0.33255114	-0.972571321
111.0095	144.3	0.05157767	-1.980022133
111.0202	156.9	0.830639603	-0.214247104
111.0232	159.7	0.702918639	-0.382063629
111.0391	166.6	0.274905556	1.09676619
111.042	154.6	0.005183191	-2.870288078
111.0441	267.8	0.487585781	-0.695745901
111.0552	277.7	0.316887033	-1.004884342
111.0553	80.2	0.071870993	-1.817031298
111.0682	161.9	0.830229588	0.214833935
111.0746	162.4	0.309375066	1.019719423
111.0804	30.4	0.98985498	0.012735054
111.0805	272.6	0.647217231	-0.458461046
111.0917	60.1	0.936703721	0.079531204
111.1168	246.3	0.086179849	1.727163409
111.5189	150.8	0.979810438	0.025343125
111.5219	159	0.690960993	-0.398227045
111.5375	160.3	0.155167063	1.428470241
111.5408	169.8	0.844559533	-0.196373537
111.6585	89.6	0.002476808	-3.08422715
111.9683	188	0.31471371	-1.008542927
111.9843	169	0.930708787	-0.087076857
112.0062	144.2	0.061627607	-1.899002168
112.0179	156.1	0.695526004	-0.392007001
112.0356	187.8	0.584455785	0.548012191
112.0618	270.2	0.442067307	0.770981062
112.0756	157.4	0.661111393	-0.439485231
112.0757	276.5	0.984203866	0.019838762
112.0869	159.3	0.75775203	0.309164459
112.1121	283.4	0.164344435	1.396408874
112.5196	159.4	0.498356735	-0.678480859
112.6376	109.3	0.543135031	0.609251014
112.8734	76.8	0.462938198	-0.737365152
112.8956	74.9	0.001005869	3.359094348
112.918	76.7	0.355727117	0.926039327
112.9558	186.9	0.205352827	-1.271410369
112.9668	172.9	0.286454172	-1.069140294
112.9716	208.7	0.273938223	-1.097815552
112.9784	160.3	0.0019189	-3.189160607
113.0167	158.9	0.555340758	-0.590902131
113.0203	153.2	0.461099465	-0.73895611
113.0233	272.4	0.59808509	-0.528312245
113.0345	35.9	0.423212837	-0.80385391
113.0597	229.8	0.444114646	0.767065462
113.0709	130.1	0.795108614	-0.260178141
113.0902	160.7	0.25192807	1.149432416
113.0961	264.3	0.023984565	2.279731273
113.5183	155.9	0.743137552	-0.32822142
113.9409	204.7	0.000731544	-3.43781347
113.9559	206	0.301378657	1.036649612
113.9637	193.9	0.077317182	-1.776807331
113.9718	209.7	0.946492068	-0.067224712
113.9863	199.5	0.213124573	-1.2504123
114.0165	162.4	0.435005387	0.782967227
114.0215	203.2	0.782726299	-0.276270824
114.0435	68.3	0.10121971	-1.651187451
114.055	269.3	0.200453574	1.2858996
114.0662	78	0.000571169	-3.5200665
114.0733	220.2	0.998421342	0.00198159
114.0774	85.2	0.78362651	-0.275279083
114.1277	77.8	0.751403759	-0.317368211
114.5252	207.7	0.954646597	-0.056965923
114.5582	147.2	0.16329816	-1.403586513
114.8927	75	0.000650564	3.48786916
114.9562	258.3	0.013813548	-2.48841595
114.9607	198.5	0.22458748	-1.218772898
114.9641	190.3	0.117959818	-1.571866552
114.967	193.3	0.074043926	-1.797757343
114.9712	264	0.240632776	1.177373453
115.0171	206.9	0.164887005	1.396040394
115.0171	41.7	0.001701676	-3.256406409
115.0286	274.7	0.097501875	1.666088198
115.0286	31.5	0.800917351	-0.252585931
115.0389	272.6	0.821913246	0.225444954
115.0502	40.5	0.234440393	-1.196310277
115.0502	275.1	0.485313336	0.699242279
115.0632	70.1	0.000623181	-3.498902625
115.0695	73.5	0.039527961	-2.07951728
115.0725	67.5	0.961220115	0.048697922
115.0729	273.2	0.294077204	-1.053139159
115.0754	258.4	0.646398503	-0.459656961
115.0866	161.9	0.300649625	1.038663356
115.0947	34.9	0.888105052	-0.140970509
115.0947	265.5	0.050394035	1.970683321
115.1117	229.4	0.639566802	-0.469159689
115.123	273.1	0.011289415	2.562747334
115.135	112.2	0.10990303	1.607551494
115.3399	256.2	0.001222656	3.29010908
115.5188	44.9	0.000712023	-3.536582209
115.5219	179.9	0.757346771	-0.309516206
115.5273	188.9	0.334587607	0.967745258
115.5786	172.1	0.3877739	0.866765191
115.7368	125.6	0.106315679	-1.629502502
115.9429	215.2	0.47274659	0.719681661
115.9641	191.3	0.185006914	-1.330937232
115.9679	205.8	0.561892812	-0.581249752
115.9792	217.1	0.613513813	-0.506144776
115.9891	126.2	0.291435339	1.058929819
116.0164	271.6	0.054130138	1.939760861
116.0241	125.8	0.022121536	-2.337394976
116.0343	125.7	0.274248142	-1.098309586
116.0473	127.7	0.109190336	-1.613678887
116.0556	125.4	0.004352039	-2.922436819
116.0614	125.6	0.377756002	-0.884995686
116.0705	140.2	0.489818367	-0.692858331
116.0784	126.6	0.065476459	-1.857614767
116.0809	132.8	0.584641349	-0.547761611
116.0854	125.5	0.001869155	-3.208863993
116.0938	127.7	0.090933863	-1.706418044
116.107	263.3	0.579724456	0.554912915
116.1169	126.1	0.23901627	-1.184137944
116.4056	123.9	0.740341241	0.331919269
116.5241	174.5	0.68819632	-0.401981761
116.5464	221.6	0.767823037	0.295716943
116.6389	91.8	0.435913577	0.781123873
116.8909	75	0.000172413	3.860789582
116.9619	251.6	0.105525363	-1.627943299
116.9674	244.2	0.161358428	-1.406874823
116.9719	200.2	0.951253648	0.061228103
117.0246	171.8	0.815914976	-0.233178522
117.0547	266.5	0.423103452	0.802940281
117.0658	269.6	0.079758719	-1.763784688
117.0676	126.6	0.251979766	-1.151736003
