samples,Sample008,Sample009,Sample012,Sample014,Sample015,Sample016,Sample019,Sample030,Sample031,Sample032,Sample033,Sample034,Sample036,Sample037,Sample042,Sample043,Sample044,Sample045,Sample053,Sample054,Sample056,Sample063,Sample066,Sample068,Sample069,Sample074,Sample075,Sample081,Sample083,Sample093,Sample098,Sample001,Sample002,Sample003,Sample006,Sample007,Sample018,Sample020,Sample021,Sample022,Sample024,Sample025,Sample028,Sample057,Sample058,Sample064,Sample073,Sample076,Sample078,Sample079,Sample082,Sample084,Sample085,Sample086,Sample087,Sample088,Sample089,Sample091,Sample092,Sample094,Sample096,Sample097,Sample099,Sample100,Sample004,Sample005,Sample010,Sample013,Sample017,Sample026,Sample029,Sample035,Sample038,Sample039,Sample041,Sample046,Sample047,Sample048,Sample049,Sample050,Sample051,Sample055,Sample059,Sample060,Sample061,Sample062,Sample065,Sample067,Sample071,Sample072,Sample077,Sample080,Sample090,Sample095
506.8922__39.06,13775496,14526337,6914282,9834816,8183257,15252628,9170528,9673629,7912210,10456528,13398721,10170448,23845501,15941331,10317246,14439526,14020907,16278413,7512005,8162031,7643275,9533032,7595258,11681676,14157361,10329033,8996610,9613821,20929494,8417235,7496101,1838393,1818552,2153770,2057769,2058610,2075842,5282209,4916899,4760682,4807721,5124658,1995932,5105939,5206786,5141377,5027790,2185813,2149257,5123789,2064444,1694973,1599910,2182270,1913460,3362147,1859924,1837585,5209916,5322454,5302692,2273082,2179563,4882666,7092527,6220432,6890673,5310649,5087570,5296588,5663512,5728819,5981047,6006620,7131641,5600648,5759605,6279575,5193795,5822725,7066602,7000882,6439501,5384324,6463568,5331817,6527228,6321755,6541535,5739385,5410581,5590184,5927256,5917810
426.9806__41.76,12463827,16674396,16271145,12412926,18661458,10870050,13437271,14510548,12473462,15217791,11699107,12325600,13727556,10370128,15814131,16036111,15023459,12835626,11002959,9899285,11094625,11721455,11623814,10737794,10497049,12399735,13102615,11691590,10527541,16759353,16374387,11967545,14041691,12873744,14084185,13790121,14584443,13062388,12561165,11505606,11748924,11645597,11658921,11024787,15176324,11963458,1747782.8,13141524,13751154,17460789,12801356,10082784,16286512,12385607,14892736,11311809,14106732,13550507,14185088,11416225,16715586,13507574,16015945,14352110,17323347,12920509,13327547,13912916,17580531,11638879,15544073,16838172,10720985,13773567,12290588,15208481,11399877,8738914,12104980,13213280,11315047,11702252,13145085,9958819,10323118,1747782.8,13843678,11249471,13535261,17002879,13646170,11430721,14601852,16427515
526.2495__200.12,1779546,3125257,2140659,1792815,3381777,4081094,1814297,5203670,3511169,5102392,4305014,3810862,3259241,2628905,2100987,4715191,1968369,2709093,3589881,3848218,3279329,3687283,4362486,3076344,4552926,5844640,2932479,2448116,3646196,4217749,4157774,2819561,1854498,7547068,2775788,2041684,2287418,2981437,2665093,3864810,2223886,4093466,3041379,4107494,3723872,3550427,2720382,1132291,3083316,4703018,3714365,3403236,705833,2022832,2337510,2998683,141166.6,3772109,2024008,3808442,2277195,3870537,2771290,2606606,4034442,1811500,3356084,3417715,4600601,2355381,5048612,3492921,978206,2203191,3750881,3479596,5168351,3182280,1779208,6216691,2390719,3718867,5018406,3026575,3391427,4119780,2619285,3382597,3330703,4291652,3754893,3485230,2918234,1722020
526.2495__208.45,3136998,2545741,4121009,2912272,5488357,5760134,2606774,7994397,6721464,4730632,10192523,5774483,5166981,4611650,3761207,9411917,7932419,3814413,5032049,6687256,5096370,9217661,2751388,4551763,3178371,8449342,3557274,5535310,8892099,7777957,5703599,6630067,3616866,28772429,3612292,4374152,3462150,2937853,3406319,10221543,4869457,4752908,4252173,5365054,7735531,3653894,4492122,3382747,4394422,7762592,4842717,3643305,1007552,6447977,2676135,3609582,201510.4,4847662,3102497,12207496,2808889,7483239,6556731,6535583,4776858,3309067,7760064,4205065,4051652,3195302,7942896,4292608,2541161,5187561,4686369,7379785,10343515,3259936,4261304,22454241,3765452,4864545,10208930,3142271,7099298,6246984,5564602,5047071,6155745,8176789,10084969,7585697,4584988,1963963
484.9105__39.06,8113712,7939694,8533867,7890262,5710020,9617926,9077025,9815784,9280412,8537699,9113196,10356616,6301660,9917618,8728176,8355511,9465931,8412500,10053684,11171686,10435319,7659539,8680499,6109760,9117163,8897738,9958820,9653072,10885935,9559778,10913415,6118888,7760089,7425283,7716541,6711366,9596755,9083673,8267398,8832642,8523681,8201733,8845079,10574083,10053570,9778415,10512191,10271021,9371969,8548368,9543466,7209007,5984470,11795512,9199142,9132244,8720211,4946276,10381542,8790313,10468299,11195335,10507554,10399751,7602454,9461078,9776925,8971878,8604193,8045652,9560851,9072297,6460910,7258503,10709668,7880670,10099993,9702837,9119583,10357350,10403793,6632001,11641294,10279675,7987023,9874815,8779418,9083993,9774392,8851201,9533615,11233952,9928338,10407234
507.0982__150.28,6640026,6958321,3906807,5099605,3654720,5312811,4295117,4497882,4703112,5890888,5518233,3852163,2941681,5333169,5044765,4400071,4086713,5520242,2765543,4154692,5285468,4175266,5358571,5449828,4268863,5449866,6277603,5518661,3424815,5561994,6274553,6623082,5662193,5677194,5985732,6159932,5371117,5049804,5389886,4847199,4916554,6871981,6081312,3161469,12230150,3142459,4421425,3548823,4864356,11274475,6451419,4037422,3787718,4926008,5123093,7171448,5401862,6645690,4991507,3604121,5164777,4450543,5679461,7255824,6661454,5533748,3831346,7850908,5234898,4560848,4576744,5456701,4146154,3661022,6890274,10474657,6604361,4194024,5575136,10456321,3972467,2893723,4409805,5952907,3384292,4427084,7805199,3780176,3762680,3627551,4397321,5704672,4362662,5671078
570.1703__310.86,3546550,3373791,3943397,4247204,2739698,4317216,3794470,2136984,247511.4,1968271,247511.4,1790185,1237557,247511.4,247511.4,1990583,3145993,2665995,3111833,2711082,2777579,247511.4,2176284,1797708,1448930,247511.4,2093721,2132557,2272372,2058792,1985576,3620144,3662997,2993696,4022287,2520328,3330388,4979400,1784950,1765443,1861727,2414468,2026525,3527032,247511.4,2041838,1795843,2431035,1698852,247511.4,2399461,247511.4,2815105,247511.4,2385156,2483218,247511.4,1553612,1984737,2198864,2412088,247511.4,2382830,2025780,3064725,2779103,3940387,4002102,3520659,1638891,1850907,2181555,247511.4,1710066,2655547,1843741,2658283,2630574,2971114,247511.4,2062278,2636016,3589275,247511.4,2317387,2168624,2315848,247511.4,2381073,2044726,1580147,1626312,2707345,2476021
526.253__519.8,1680740,2881574,1183837,2610627,657883,2186507,3125756,1894571,1954806,1542354,2745709,1577782,1918343,1881991,2712874,2199798,1677588,1943836,2196743,1703442,1724071,4095869,2286397,4075124,1310281,1758554,2966897,1834170,4321273,1636346,2649824,1872222,131576.6,2054155,1470218,1701774,2529978,4145184,131576.6,4239123,2184086,2584702,2549128,1816581,3601057,1710321,2238079,3529857,4667687,4160081,1964192,1626044,1906752,1437347,1191658,1390191,1610717,2186204,2078870,1192792,2223960,2204336,131576.6,1457799,2101154,1938771,1982426,1678287,131576.6,2063060,2431085,1686988,1435812,2258941,1878023,131576.6,3205063,1572034,2688134,1288622,2563982,1723917,4068726,1856505,2298842,3251630,1722333,1733891,3341888,2177890,1506445,4794453,977640,1580874
547.2744__968.71,1763777,2948522,1588705,1586696,807636,2771336,2104589,2729658,560049,2643854,1046446,3522343,2300096,4294355,1742353,42018.2,3300699,1620221,2375098,1944111,2106842,4480057,2229967,1582402,2973473,42018.2,4102461,2249155,4180733,1674973,1349235,42018.2,42018.2,210091,42018.2,2009227,1672017,1823526,1876648,2289925,42018.2,2391119,2726423,2928615,2682339,2263884,42018.2,2029773,2484237,603922,1903475,42018.2,2358544,1903604,886055,2038728,570481,1584328,2314153,42018.2,889795,2160801,3464245,2893679,42018.2,42018.2,1172044,1823869,2088398,1796680,1977389,2015507,42018.2,2520515,1334154,2862458,2678867,2623176,1835053,2578115,1842424,1186196,3310009,2272891,1465491,1250565,1092927,1477376,2036516,2029383,964460,42018.2,1863793,1907255
547.2744__975.13,1699886,2914784,1460677,1669194,661533,2979791,1561842,2254573,690371,2317883,836989,3245496,1886794,4310478,1486666,56210.6,2504303,1553733,2093228,2233215,2083266,3151342,1717500,1727286,2985466,56210.6,3028582,2165648,3074287,1372023,1212282,56210.6,56210.6,56210.6,56210.6,1887449,1349702,1488683,1683002,1820225,56210.6,1827838,1843694,2876218,2172446,2297024,56210.6,1471897,2041125,630404,1332334,56210.6,2157278,1672763,882081,1785407,281053,1441770,2370986,56210.6,838437,1868945,2587078,2409016,56210.6,56210.6,1155117,1437918,1564256,1439357,1464832,1858178,56210.6,1998058,1062787,2217783,1877819,2114908,1433980,2548764,1457986,1140172,2902460,1873949,1467403,1111407,1078178,1209117,1652287,1565856,856400,56210.6,1631969,1718645
