samples,Sample008,Sample009,Sample012,Sample014,Sample015,Sample016,Sample019,Sample030,Sample031,Sample032,Sample033,Sample034,Sample036,Sample037,Sample042,Sample043,Sample044,Sample045,Sample053,Sample054,Sample056,Sample063,Sample066,Sample068,Sample069,Sample074,Sample075,Sample081,Sample083,Sample093,Sample098,Sample001,Sample002,Sample003,Sample006,Sample007,Sample018,Sample020,Sample021,Sample022,Sample024,Sample025,Sample028,Sample057,Sample058,Sample064,Sample073,Sample076,Sample078,Sample079,Sample082,Sample084,Sample085,Sample086,Sample087,Sample088,Sample089,Sample091,Sample092,Sample094,Sample096,Sample097,Sample099,Sample100,Sample004,Sample005,Sample010,Sample013,Sample017,Sample026,Sample029,Sample035,Sample038,Sample039,Sample041,Sample046,Sample047,Sample048,Sample049,Sample050,Sample051,Sample055,Sample059,Sample060,Sample061,Sample062,Sample065,Sample067,Sample071,Sample072,Sample077,Sample080,Sample090,Sample095
192.0331__42.3,4468456,5330168,3360574,1446153,4231500,4399441,5175495,3380382,3617908,2681921,11842306,571339,7010785,8346301,5628955,5978552,6007049,857113,1629767,2580044,2515034,892944,2294055,2873789,1671023,8746644,4890945,1866964,939613,5788454,5456009,8872691,3468837,4229790,2612669,4485321,1733597,529498,11064559,2973267,4628670,4511013,3676038,1770563,4983050,2907772,2301989,188125,4435029,3636854,2521756,3262564,5569150,2505128,2633642,4455948,3030916,4256203,3254393,3504826,5888642,8395386,8070131,3688728,5127556,4791773,1507256,993575,1060072,6379549,1503185,4397264,10567757,4724917,4096464,5921642,2928173,3469041,2304579,6776700,3182378,3786496,269967,2491514,410109,2011497,6683614,2994300,3438180,3222024,1600422,1465480,1965837,1851806
192.0496__150.55,5655836,6949143,4045186,4671757,2738779,4925253,4503476,7029611,5901494,5488225,7070639,4655614,4766329,7499133,4257039,5242000,3783270,5088900,3624196,6258892,5769045,4943438,6110380,7950112,7754473,8896125,9567444,6559012,3856047,6828280,7628015,6489626,6955066,5731571,6708440,8319961,6040809,6908578,8503877,4709040,5649621,7741942,10331558,4500819,11132451,8118511,4741907,5761826,6331539,10632542,8304587,7498491,5673225,8401596,10649251,9965671,7600953,8552895,5243908,4815801,6605073,6853657,8971349,10924239,6949865,4751677,5248565,7700134,5966101,6127889,4177692,4186227,6666953,5761393,8474101,7942123,7908024,4612876,6151339,11821474,5071185,3636544,6692781,10902584,5220633,5026441,7905399,4477200,3969052,4480304,6755936,7332864,5304592,7976002
251.1291__244.14,5044412,4805378,5184923,4037637,4415794,3857422,5872647,4851495,3436293,3847834,2836291,3852102,4543099,4341356,2872143,4683140,3380485,3529975,6208906,2536938,5803946,2807014,4654335,3357315,4160014,6019250,5469866,2888960,5087348,4567845,4344802,3239097,4576730,5418817,4371243,4117950,2936224,5610628,3039151,3636136,4911723,4281838,3923601,2809458,8781729,4136241,4823037,3597927,3965584,5061070,3515833,3812064,4961320,2797054,5728798,507387.6,3099856,4939085,4044390,4952153,507387.6,3452255,8878136,4233300,5948722,3187189,4352189,3410728,4397153,4152695,5459532,5743576,3270064,4215831,4826789,4405165,4621744,3083413,3397464,2908593,3404075,4340811,4863152,3925906,3095456,3380761,5294315,4205356,5998168,3066331,4148587,5829032,3108472,14323858
142.05__150.81,5837393,7216192,4369047,4878108,2664798,5005859,4482486,7206219,5897846,5617812,6901888,4700387,4676275,7447678,4541176,5813866,3822973,5231344,4203302,7197895,6720899,4972365,6541811,8063542,7326040,9128948,9561455,6641191,4022176,6904593,7646783,7220705,7129923,5989166,6639173,8760350,6150212,6903450,8210347,4703751,5754127,8119297,10095498,4571172,11693969,8495606,4820955,5902938,6801750,11080823,9243378,7575581,5794613,8477274,10956001,9740844,7723198,8555065,5510860,4911258,6714886,6937536,9565594,10936939,7123806,4729077,5633192,8005414,5893745,5977458,4156705,4493339,6617501,5923648,8377259,7914742,8133437,4761964,6656581,12005798,5019456,3609192,6855091,10747983,5576028,5221987,8001338,4641979,4542175,4989527,7101341,7344357,5876465,8234209
85.0281__40.13,7161399,6960515,5952082,6169254,7744800,7085304,5237762,5944928,7215709,7093151,5600835,5823562,6154035,5902510,7782287,6915212,7654816,7287736,8652486,7528992,7931843,6087246,7315843,5894730,4343243,7545525,7346132,6231567,5971010,5818230,6709611,6792173,8527767,5922794,7235097,8278796,6312441,6870084,7080739,6478028,7134830,6088893,6078636,7775769,8113479,5176932,8809128,6802033,7330151,8801826,6290574,6263277,6034563,6550071,4342422,7006153,5369930,6818614,6230762,7545152,7891897,9842501,9461732,8505367,9221717,7468126,4848802,6621032,5757095,5224710,6326139,6673921,7277219,6756860,9217230,6940956,6101192,5412721,5427236,7024837,6621160,7021724,7472336,8164326,6586069,5857335,4621646,5255362,7233512,6435248,7048572,7037053,5775920,7960222
85.0281__43.64,22803826,28831103,24978343,21997493,28111515,24017784,18689518,18329971,14723856,23070163,13311668,20921919,19610275,14530719,31420667,27760786,21185478,14293496,27220674,25186915,25630056,28380868,27377498,13092589,26127466,12336397,39876037,22062532,14116743,22359446,18984321,25063948,37385408,22379735,22540686,23904205,13137630,12232868,22262284,23696456,31108147,26938327,15230048,19152057,23927070,17948126,18675968,20633017,29971805,26536782,19828998,15643097,20816553,17552412,6230482,26920984,6368869,17063133,25247434,38077679,24721432,26254427,26741820,20949033,40424642,24445210,24241822,16126359,15570449,12757108,21843891,18623581,22327281,21136833,24364387,30259838,13168443,20325703,14486637,32298996,19813858,32073473,21519545,21539623,20975802,22692300,12758877,25181321,21895062,18218724,26052283,23632320,12509804,12784367
142.0652__158.6,296286795,651416821,47571637,226185660,244731924,258422450,183291940,53622078,231589264,158147160,441694395,106967766,302915016,319326081,140066217,198490206,147264974,158913825,742449080,290048733,133043679,233199421,368557730,332185132,290928300,492553990,49737403,105218365,48299981,884475071,246206938,58168079,149780074,316056752,43654329,121852319,299672881,271664653,325552940,712388612,200075401,350001606,97088797,530399660,322964698,104664274,85085773,369008312,458806710,249104735,432658253,286238560,263017761,287836223,300042405,384934228,215127182,108315628,91725477,350767841,489206105,125795147,284767661,260098657,335678892,684016924,252366276,241164902,142636338,440494128,336305490,103314810,215259578,324065741,57813618,231668567,201584020,243341331,684117382,366111743,204581901,97208401,237665403,94136760,238432570,288729293,143661009,225489172,132505601,244941163,169332677,226122510,193442189,231503923
251.1484__555.22,2285583,2451268,873050,1470965,1149478,2631445,1279555,1345621,1025434,1596901,2243437,1464703,4540412,2802989,1496891,2518254,2312291,2840133,832738,966125,800600,1233179,880635,1787307,2320331,1561036,1154731,1268398,3736535,998839,801895,269400,262950,242028,258905,291196,268374,408331,417819,384316,352261,401755,258855,303616,368212,352382,270612,374918,361200,191167,350240,389577,335524,348980,331198,25954,356244,340039,311773,307976,339252,365435,351487,262999,838856,709312,745846,426130,470487,497069,508404,544035,609560,607480,781917,353024,483319,636044,383137,526717,764888,773473,560598,378553,694727,390401,704980,633915,609278,453210,379214,376181,471425,446237
85.0645__166.09,8137488,5114222,3404961,4904867,5699578,4215701,3041870,5988142,4531040,6587660,5005956,5565475,4273854,3952257,4725778,3314733,4568667,5754792,5459686,6346796,4268354,8014787,7049816,6189389,6336549,5042578,5493498,7548853,7118040,5706868,4523025,4310071,7960960,5059471,6088417,5112197,6306408,5275089,3160889,5020650,3474732,6012379,6520931,4908431,9350368,8386317,7046452,4801320,4916989,9839396,6592700,5870124,7129972,4910135,4894793,5838650,6281916,6933525,7997041,4007698,6041708,7868214,4703703,7176339,4451163,6173357,4332840,6567416,5725875,3913890,4199247,4632636,2859791,5586385,8556573,9318914,6576851,4580830,6482267,4699306,4954995,3124608,4116597,4828889,5415684,10628988,4839416,7258190,4201956,5115466,5736685,5209034,5636088,5887990
142.9143__37.46,8670020,8534033,9076968,7622419,6144697,7277266,8029272,9167838,8727378,8901282,8353549,8255243,8889968,9690386,8862241,7956938,9050485,8283952,7616092,8409433,9779587,7386538,6891299,8334156,6526109,9306498,8992627,8373075,8080427,8287589,10078286,7583495,7757806,8162735,8067036,9899900,10433801,7845443,8820237,7258282,6402705,7738980,7445243,8633223,10858036,7753474,8767891,8052844,8118834,11329882,7366144,7752718,8214829,9078549,9209160,7635005,9003950,9304285,8182207,8066513,10236740,8858051,7832677,9383638,8528783,8367232,7775474,9118728,8869252,7555800,7750829,8723543,8581224,7537784,9739709,6669529,8606544,8443363,8651756,9061616,8693632,8520684,8919863,8463859,7620390,7194260,9156791,8915026,8559447,8833789,8834233,8909238,9791239,10581330
252.0459__200.96,4081102,4088852,3846317,3869718,4104532,4212772,3776747,4243978,4018006,3935782,3879983,3772653,4076490,3922471,2542201,3052516,3072539,3132337,2852127,3172379,3076521,2696348,3032258,2630280,2653296,346640094,2951413,2636799,2838085,2952307,3007301,3932357,3920952,4095765,3959815,3706166,3601289,3287484,36019144,3696753,3977287,4092738,3363153,3090698,2920184,2825799,1727459,2501568,2659188,2420330,2843553,2170783,2975977,2857249,2957625,3011078,2912043,2931855,2963341,2937565,3127086,3050534,3047169,3207032,4202096,4308328,3775710,3940149,3391608,4005277,4021009,4062886,4033079,3989054,3191789,3017424,2766561,3052033,2851559,2814586,3090237,3005689,2840207,2826203,2716886,2729071,3164285,3107212,3140817,2820867,2725540,13860456,2812353,3000647
232.9755__49.52,11918659,12157150,8316063,8893372,8229213,8125202,7804483,9213804,8769864,8954953,9372142,8383709,7213687,7534492,8449442,6719646,5790521,10453077,8763402,6101264,7402834,8663399,9727608,10895176,10871925,9694839,7014907,10009609,8587398,7268693,4812743,11359053,11277544,15869875,8952658,10519546,6615250,6721139,6870199,9610034,10621133,11441053,9730883,7593204,6366799,10021236,7642879,7487498,7382351,5041510,9703629,6798662,11740040,8619223,7513116,5497200,7677409,7371436,6814751,6166108,5137785,6693998,5019172,5103784,11410721,9565076,8585970,7920946,7094455,10276733,10764457,8792492,8523027,8938017,7983455,10485636,9692448,9402237,9633628,16620387,9981982,6176626,3423830,5625033,12603168,9347751,9450162,11592334,9535216,8258445,6597973,3888118,8373390,4427764
115.0024__43.64,132061157,109922462,89807184,95580323,62519781,71468598,79067204,97082813,80465128,85205121,111022460,97380516,73224199,105708286,70437113,64564433,100371543,140148055,110803618,117529928,106566580,118291084,121522451,148687614,104330146,147365133,114827813,109071406,142999608,119277540,142560829,99357497,76806460,119801720,140921259,101869266,79388033,124103429,97374908,78750425,90692505,127968173,131192625,118153817,166596176,110317777,114949936,102408218,91453458,178303968,138664968,92258744,112695743,121080267,197413766,148115887,136316813,139331606,109805629,95311354,106027543,122083922,166954862,137158756,78391961,111770116,84526814,158690120,102060873,129547012,83983629,80264870,95193743,99395545,150201608,178323885,149830082,130730690,115086167,112329478,96625627,91849826,90169102,117968749,80048607,142775122,112686847,107627601,81359787,142994450,107226047,123486881,117532097,174999684
115.0024__50.59,23290431,20453103,20497249,14248875,11299035,14829368,16346050,24602724,18075773,18397600,24312624,20562344,14845708,18731766,11004837,8961993,20053396,31501873,23107321,25071254,19098456,23821166,22372450,36785986,22691911,34708477,23800762,22331774,29567405,24120266,24407738,19033036,15132664,20973431,22090634,16634551,17251673,28295260,17461721,16366210,15900353,28297969,27061804,19547571,20634118,25801089,26237467,21132449,17679221,27894168,25348773,19231789,24797743,24440227,49173485,33135908,35982964,25657778,21472858,18980083,17559238,23645100,31375665,27037509,16744419,19417772,15445685,32156850,17418921,28788296,17277204,16891284,18315940,18085244,26166047,28013751,28895689,31247494,24630087,14555192,20571993,18075198,14209120,18448762,17137723,23420261,21407906,26733769,18183714,29759728,22278753,19447468,24907753,33442958
169.0071__42.3,8077221,5309637,2825020,5676137,273300.2,4057824,3283127,273300.2,3291735,2749449,8050004,273300.2,273300.2,273300.2,2576911,4628215,6551886,2821378,3845446,5994308,2383209,273300.2,6550097,2460749,2858298,7513219,2862604,3515411,4835545,7132792,3180823,6210366,2467444,1612087,6814683,5201598,1366501,2654471,273300.2,2462544,4517616,6589240,3477002,4067015,6050508,3702163,3822641,1661537,6582383,7026207,2276481,2767233,1808501,4422623,4232775,4115461,2347967,2484833,2064779,6281389,6698590,2316534,6252215,3377865,273300.2,4171932,3651361,4911062,1943706,8244174,273300.2,2122268,3525704,3434811,273300.2,4582615,6591905,4742201,3430260,5567046,3265663,7083728,3737278,4695672,6118621,5012843,2989502,1380113,3084059,3169477,273300.2,5365075,3637205,4441390
232.998__70.78,25145499,10125725,8504781,10289441,9141339,9743041,8391227,18448530,9722217,10169935,16935761,8271767,11787779,7972898,18277350,9901596,9432383,15866130,15967825,10747405,11574293,13236599,12781074,11645733,10336619,6278702,11319211,13533743,8534216,14719106,7774456,6221416,34274859,41109842,20020428,7808091,13240375,8247566,9766743,7954469,16593439,8347400,5576485,7907781,7860608,6386994,11284790,20901598,9143461,12550567,12637245,8585182,15331261,9043351,10555164,19743706,14987357,14395683,16673347,8366202,7771269,17382207,9713018,12714978,9199615,12100838,6721794,15655535,14766300,9053806,10731250,16915653,10244356,11202062,16470643,9774542,17866645,15359881,6765178,12312417,14341107,6418396,13425737,8451050,13573143,23377725,9034294,14741623,9845017,8374578,10520957,15577135,9236608,11726952
232.998__77.2,13420791,12118490,5713491,8344383,6846092,12741013,7401607,8860146,6521166,8819429,12288680,8088382,20685167,13337915,9909544,12517307,11778695,14573698,6678217,6756464,6135742,8310190,6509522,10190942,11845927,8525629,7496644,8171276,17394856,7186053,5862568,976907,4448716,5421595,2939086,1246190,1925297,3832631,3960285,3812566,4812662,3844841,811291,3656681,5266203,3731282,4069827,2570722,1225017,5122499,1719103,1365789,2059073,1255112,1122909,3851769,2176177,1829016,4975763,3829546,3847044,2384229,1391575,4214075,5761781,5306494,5060893,4939048,5155457,4324607,4527240,5503941,4916115,5103547,6695925,4565660,5728818,5644111,3856125,5009695,6461770,5328514,5385149,4100204,5889809,5987181,5307067,5884665,5166786,4470731,4314815,5101790,4512881,4740357
252.1074__148.41,3491338,3381968,4843651,4557373,4226279,3639893,6784823,4826975,3453447,6946640,6624893,9306432,5933442,7474398,6480167,4540640,3313753,6156885,3546897,5594131,11927256,10910825,8565318,9171612,9145936,5144314,8861436,10697057,6522528,6941768,6235180,4950496,7089624,5972034,3552357,8028458,7633467,9308076,7255867,5957248,4388840,5435510,5571842,3794257,10571529,4736948,8811170,5693719,6957463,20820676,8785627,11533661,6652361,8450846,8879060,7319911,8682996,10166484,7895692,5453036,5235485,5099326,5907172,8543760,4855622,3865327,7638538,6687660,7063539,3984400,6391680,4665193,3838559,3415641,7020266,10078973,6631539,5772148,9049087,17878093,4493664,4995975,4524480,6873342,7109435,4422822,9276412,8757599,6177006,7676522,7730594,10260570,9363743,4973958
252.8195__39.33,3727603,3867276,1857903,2505365,2067528,4055952,2457305,2486766,2144546,2745482,3623892,2644617,6320906,4303091,2662044,3943955,3625641,4367086,1891985,2163302,1939028,2544568,1951956,3242272,3875277,2977294,2416846,2666929,5519429,2064306,1895895,662116,558818,562726,486429,497928,556778,1371237,1356901,1368506,1211681,1341794,543297,1390611,1425033,1533935,1324589,537462,426265,1333164,599102,581829,499526,646566,622485,824115,450712,487567,1388709,1261787,1372980,565015,471038,1271922,1902526,1729325,1737691,1278251,1378147,1494005,1369924,1388435,1763484,1606727,1913285,1383312,1556705,1838293,1254239,1790648,1966901,1761337,1582531,1479226,1833525,1497217,1844400,1780459,1720469,1425843,1447540,1456250,1522160,1406025
143.034__39.87,13360320,14432311,13061193,13384366,16996619,14231329,10442969,12796524,15425224,14331126,10400504,11979064,11715232,11723769,15945288,15290951,17478753,16133136,19795645,16288748,15389492,12092006,14020916,11554332,7059581,15904188,15567147,13270803,12106517,12799049,14846921,12500547,16791683,11048650,15816170,15467545,12576574,14120243,15044548,12989743,15508157,12376414,13754005,14695135,17215332,10170638,19055823,12374691,15743496,17422765,11964647,10661640,11441239,12767384,7521873,14754080,10316674,13078624,13156416,15779519,16952337,19913178,21543471,17634630,17103480,14156620,10692226,12594204,11536375,11272444,12866032,13046229,14196773,12426653,21285328,14018432,11336426,10013319,11556390,13825349,12608765,14341755,15383021,16801825,12150162,10029211,8671327,9308996,12904697,12413088,13842512,15889626,11484734,17468762
215.0019__156.2,1507229,2663946,2317123,3055349,2185421,4081910,5185742,1834676,4336165,4885834,1404136,4053184,2085283,2185237,4762864,3950713,2794856,3301876,4186439,2754560,3640626,1586653,3233676,2207246,3545606,1660322,3544173,14364793,2201923,1611183,4985818,3140281,15206056,2033701,3229371,2810449,3356970,2083782,4682560,8388773,1510248,1584375,3426530,3384591,10822018,3666448,13042958,1592569,4921848,3836201,3369661,1752176,7388817,4906437,2275667,7031481,46603866,2665856,3491028,4589154,2434995,4586540,3613676,3619311,3622844,2595773,3904543,3888989,975787,5593176,2494289,4763684,7840101,2666206,3897358,4763065,1991656,4231038,2314070,2349012,3558352,3744214,4594257,5737134,4091414,20536170,4131896,2465224,2385791,1811605,5560362,5072499,4174625,6020213
215.0019__182.94,17980542,16579404,2453844,4545924,8604221,4905204,90287729,3227058,108802901,3267481,3288526,4524191,2259325,3334360,94909587,5856604,3869882,3562600,22571543,5095817,5299949,1248529,13428745,5104776,8783832,1688720,3115057,4276940,2020216,5711090,40451374,8666312,96869083,2626083,7788919,5221352,81445229,38257248,5883031,29581402,2589676,21746267,4928964,10787920,34455587,15824684,14677427,64922837,13073078,7899691,9931939,6402760,104772892,155645640,19713757,13944080,20188546,4731046,6014419,11002229,17853097,14111235,9021335,6105256,5624011,10771937,123739147,115805318,7687539,14132588,13212563,60765160,111781758,13242228,4705421,18200767,3612784,3476146,14710864,8789509,22941803,3020755,14306942,6148489,9438443,13958731,65141391,3215449,9117828,5653982,12516701,48334275,45416387,43995390
233.0432__187.48,2509542,6142670,1676531,1460304,2315934,2198753,5531488,7369549,3790247,3024376,2372810,2109160,1596957,1643303,1981725,1380684,4245490,1983497,2448386,3137180,2254747,2181612,3706370,1537279,1914555,4000989,3049148,1535226,2145900,4309145,2695081,3195681,3014256,4651032,2360692,4022425,1537936,2052026,4769902,1163051,2079804,3530191,1898853,2396712,4975591,7369541,8794034,2143828,2780636,1620107,2296319,2622198,3768099,7051361,1752053,4057819,3475622,2487189,2606015,3426592,3673471,3260242,2578683,3320549,4611982,3413559,187491.2,1918422,2090177,6346382,2558707,3058015,4438649,1667925,1992902,4473211,1969184,6151769,3147250,3423584,1813046,3678749,937456,3048071,3216681,20557178,2957971,1334386,2064802,2163741,3676451,8627732,2602688,2485301
233.0477__43.37,17200098,17277463,8269528,12052648,11689896,18676876,11428199,11622199,9461200,12889292,17587171,12130266,29984948,20063274,12773627,18628173,16701841,19984422,8349598,9397062,6928198,11309506,9701309,15959770,18976028,12971387,11071959,12316400,25415870,10179442,8827362,3355986,3173542,3402988,2562863,1969569,3123710,6070801,7237197,6619059,6211749,5845933,2825843,5433458,5957028,6481930,6052027,2717836,1859622,5745825,2515106,3629180,2509106,2417806,3855018,3940689,2440794,3047084,6972213,5825957,4310879,1834860,1843076,5937615,9240678,7903667,7588845,6447403,7208707,6744953,6669256,6730852,7863255,8104063,8254440,6387686,6966875,8381822,6256916,9708342,9060430,6697258,5542559,6129097,9669732,6031130,8413367,9874442,8390196,7563398,7013503,7040495,8229873,6890556
143.0685__158.6,31577223,70431896,4717258,23515525,26102064,27737522,19029728,5282195,24250890,16360238,46985284,11015083,32258234,34541223,14479020,21268373,15279137,16743728,79998411,31206244,13744907,23945154,38981404,35145086,31117387,52844468,4688325,10550656,4482396,95609199,25859430,5872765,15561568,34100685,4302314,12729579,31049637,28352657,34861252,76583570,21229098,37428733,9965808,56316553,34742497,10849389,8851054,38821551,48764435,26178324,45861590,30321862,28106016,30468201,32252139,40959601,22817364,11109969,9287776,37500931,52759731,12827093,30006733,27901968,36027512,72684994,26366572,25644850,14366601,46834165,36093227,10681031,22905879,34572808,5664135,24533026,21017879,25898119,73196457,39246276,21105303,10188436,24398721,9661971,25044664,30600463,14649420,23802435,13720810,25723531,17533177,23702555,20184834,24832680
233.0671__171.17,778070,2331137,776139,381327,1617427,1899447,507759,1466563,922213,1157254,485513,957868,591520,215694,302138,1657773,2904101,1369630,1961043,316330,369574,731235,354629,206503,1045495,396752,581438,376475,574558,2005308,2035308,722731,1468078,2564320,531000,708284,1302966,487025,280205,328164,3012067,1192897,659745,1265867,2276413,371474,742098,255463,1348170,818575,1276626,683979,755210,497057,1260255,823871,921748,676699,221026,3026643,338077,3969704,1512002,1307083,412998,1392081,357729,732129,1603774,1471957,1560881,480312,369616,601851,1127587,1464042,334734,1299466,1054324,922321,1457112,122485,836518,799072,2024834,1941974,506330,648226,296034,1446656,416926,628614,1673111,455497
233.0671__178.66,5772055,5548145,3263479,1594491,9263531,7058520,2931214,5633915,5706104,6126511,4082189,5975950,3742596,2555667,2042739,7550029,9065088,12116263,7956040,6587967,2345977,3827495,2457034,2729300,4053040,3036963,3627628,5481592,2126043,8411765,6442540,2498457,5535789,5558963,2685299,4532416,2852709,3813427,3223581,2991775,11662588,6967780,4257179,4475753,10830657,2759365,1990574,4601703,6198264,7176583,6907818,2783800,3823916,5474992,3555750,2508060,4004235,4762961,2224190,6096498,2164413,22010888,5071524,8110238,5300939,8450213,2201388,6318248,2360977,5469173,8545476,4314191,2094798,5755737,4178023,6606330,3262576,6097561,5345312,4406856,6083960,1329850,4579938,13825387,11326454,2511581,1715483,7307121,2821136,9072448,4260622,2676036,10997209,4867651
143.0704__206.57,6345926,6750589,3214115,4683437,4136479,7088793,4556458,4343922,3592080,5070872,6442984,4826366,11467117,7459871,4941867,7005754,6547372,7786728,3951231,3774786,3493766,5000399,3724313,5878008,7301545,5019112,4824727,5078444,10623540,3934929,3600431,593375,1027579,493362,672880,991582,1221907,1644618,2393169,2664192,2089670,2242789,661498,1884241,3067147,2643685,2212734,1802176,1080112,3423366,833734,1111171,693122,1236402,1248498,1581678,1030044,849836,2599396,2588500,2387412,804259,736332,2173152,3385346,2796157,3330779,2489850,3822122,2589807,2730370,2499796,2644124,2445021,3092354,2405115,2618233,2898587,3235555,3523648,3535049,3123856,3608936,2584428,4155858,2587622,2939535,3442778,3212633,3179184,3076146,3542771,2721744,2773372
233.0779__41.76,6603497,8602559,8409104,9103777,5501604,7770272,11731274,10466447,8154908,8484824,9047529,9407003,7221229,8779208,7638909,10489189,7127082,8511548,9426961,8276800,10500890,7105552,11002868,9362345,10699242,9358106,15030734,10673773,9408159,11638600,9955982,8377807,11210828,12276016,8212343,10312834,11905298,18202617,11908816,9506016,6572620,12347482,10051193,5794393,9824322,7608714,8780768,12558991,10578468,11234971,8774714,8363541,8509842,13881546,10942251,8850615,10999706,7843319,10797998,7161557,10401702,8783087,7150132,7755283,8141302,6576997,15391228,12146699,17315152,9999267,9803359,8595747,8041636,6158866,8735009,9086904,9081356,7078177,22943173,9869181,7479008,7411015,11731605,10445536,8199133,9707729,10757228,6238148,7468442,9684156,10484735,14707344,11206339,7197934
192.9977__54.89,3918643,3419287,2997807,3425872,3306164,3083593,2935824,3879898,3283723,4070914,4625703,3594952,3411311,4363389,2543426,3031529,2718650,4408526,2689169,3828567,3326881,3936812,3860204,4738055,4523864,5486731,4464752,4734321,3779429,3932793,3802210,4838237,3860072,5023636,3333898,3964013,4312121,3543247,4246325,3658417,4304673,4599612,4003146,3535149,1796397,4626811,3540187,2718204,2955514,1690047,4472234,4658188,4079291,3873017,4267964,4058807,4525692,5099856,4780062,3282990,3023713,3793064,3423584,4514990,3841526,3877568,3292803,3580320,3406340,4567896,4028789,3764861,3005285,3955253,3479990,2910478,4895153,3791181,4030433,3297695,3700934,2608304,3304692,3553789,3723164,2914702,4595958,4054194,2546409,4365932,4199569,3831565,4243792,2962841
169.0611__51.42,9082201,50361928,6872807,11718306,8355015,15068047,69558364,8683229,10267529,7081188,17076520,14668927,8408525,8127133,10462940,8371801,7691831,52988203,20801570,14758677,10021934,18356990,115273697,20513141,18950405,11461146,14721546,19235701,19155297,10205117,8597286,7045726,7773393,12713875,80775398,12595135,60979732,22843265,8629799,16883607,16140594,12673707,11485366,7653050,5397374,15056243,18904482,4783067,9113142,4265198,24379133,20834695,18848228,27954680,18799063,59960598,8132027,14107320,13961381,14552996,5995401,10420129,5837102,13430336,7132741,10333148,20614308,16928356,112382139,13283679,6371885,11645214,10133044,8212232,8048789,8351271,21934571,17322115,13808784,13674293,23566481,16638942,8474690,18439906,12154624,327561080,17512017,8346919,10441920,9352429,10750598,17707602,7796028,10225030
115.077__510.14,24939280,29120367,20276435,26415502,35775620,1986943.2,1986943.2,24105618,1986943.2,32895927,27804569,28032676,21119425,31609858,34936837,19339102,23296280,25191958,32699423,24962765,25428409,1986943.2,36715762,29115501,30110135,11578369,28218928,26118496,32258820,27374788,1986943.2,27302665,19552019,1986943.2,1986943.2,23561674,24823960,1986943.2,30280605,33828611,25101615,23760795,25207337,20964113,34504358,26731801,22049859,20179364,27533993,29174538,23465865,27992873,1986943.2,25044146,9934716,16723318,1986943.2,26793061,1986943.2,24894839,22471635,17696200,28776880,27743937,32669232,24036511,20812149,27176364,36908501,18929633,28045430,32217935,15082567,20354044,30050699,37008762,33410771,23542677,21357797,35147429,26763010,34775566,26594095,20515477,35448188,26482592,29663028,31082392,24764654,25901974,30583346,25875914,20510370,24388311
115.1862__509.6,4156503,5331399,3716693,4868569,5968661,5355276,4095492,4168285,3498372,5680000,4764377,4517741,3954414,5591411,6377764,3322735,4288174,4593783,5842674,4400128,4268351,5913810,6358239,5087671,4931523,1889752,4995379,4574925,5602091,5095632,3661082,4599718,3318466,2444963,3250679,3676005,4085493,4947574,5345830,6223276,4560182,3535395,4227357,3811245,5795870,4610913,3952089,3498451,4759812,4855713,3982435,4669228,3888077,4663096,1494133,2881388,2450313,4832350,4221791,4591550,4224321,3045605,5111530,5021789,5793803,4072781,3925729,5080136,5486663,3351517,5138559,5497883,2655343,3680040,5460130,6588347,6278036,4243501,3838010,6122580,4934073,6255125,4640843,3575189,6163382,4504763,4958999,5475954,4461467,4726098,5432389,4368746,3602788,4543723
115.1885__509.6,12442489,15012459,10084696,13196011,18084638,15134412,11116393,11500092,9278800,16025284,13586047,13237417,10385520,15850126,17664247,9417258,11930031,12521047,16761985,12394258,12884390,16720345,17971958,14340019,14458204,5719597,14344446,12428731,15922773,13863169,9832554,12991400,9470246,6510722,11227270,11792075,11857581,14878993,15060931,17014740,12381950,11236021,12169668,10548543,16660269,13137628,11189097,10122271,13173151,13955789,11109186,13407223,10800636,12343771,4811123,8314477,7107761,13517468,11446494,12274930,11395389,8661165,14432842,13897694,16308051,11772454,10637318,13958110,17967275,9381429,14087727,15803082,7355705,10378443,15194350,18672842,17051543,11864127,10765537,17468466,13484171,18055509,13489925,9857031,17377774,12914121,14148366,15403370,12845583,12947945,15011268,12517537,10347128,12412058
169.0863__208.18,1886610,2014689,716186,1171550,942235,2163604,1020837,1084244,814746,1282702,1847825,1178682,3771117,2324674,1265190,2114638,1960390,2371651,699590,869004,731911,1056401,776164,1446598,1931842,1361526,989079,1071237,3112486,898724,736828,239263,270756,232364,249790,257492,312579,189705,289887,266036,291097,292159,260033,323770,265462,325813,280987,195518,254459,176428,246313,295011,240736,276950,354870,47935,270475,239942,327367,302018,349073,250981,231335,289624,672679,529586,569323,272003,256119,363571,361644,425090,493025,475197,708178,355208,399571,558020,271398,391354,685143,704119,445765,364372,541701,342162,617361,528602,550124,424274,324529,310542,470220,407735
