name,092816_RPLC_POS_0uM 1_08,092816_RPLC_POS_0uM 2_22,092816_RPLC_POS_0uM 3_24,092816_RPLC_POS_10uM 1_10,092816_RPLC_POS_10uM 2_20,092816_RPLC_POS_10uM 3_26,092816_RPLC_POS_200uM 1_14,092816_RPLC_POS_200uM 2_16,092816_RPLC_POS_200uM 3_30,092816_RPLC_POS_50uM 1_12,092816_RPLC_POS_50uM 2_18,092816_RPLC_POS_50uM 3_28
M542T1074,2131.495056,3061.095737,611.9268835,2306.47736,2206.785928,2176.199751,3497.342864,3192.706909,3041.495163,2158.699034,3005.38865,4037.308386
M254T44_2,14838.2879,126390.0859,114137.95,54944.09519,118496.1381,131552.4111,83935.98358,101921.8332,129034.512,75508.91195,51143.92174,127476.8738
M162T59,97017.29432,53427.04258,82300.82249,72779.96473,66617.23829,77267.07276,70887.44538,43735.38922,54103.13289,59428.02691,127983.7044,59710.98017
M834T616_2,21885.36886,49987.14594,46331.95718,42142.22558,47608.5675,39573.08556,42542.71477,32400.18502,38082.64243,49129.29474,27853.71814,68891.24639
M586T897,286931.9019,404437.2193,403981.2976,316728.0693,413936.301,424884.5269,373449.9244,368236.4686,402036.4996,370934.3533,390633.3078,401908.4
M339T1907,102860.5719,30737.25379,56541.87779,88310.23949,66104.83406,62831.88055,73061.38279,73483.4586,58630.21196,83433.23995,78230.30868,74521.84782
M150T44,19269.83425,89793.74162,86093.59804,47869.72839,86305.42828,92427.96775,63329.43234,73266.8748,88223.32622,54427.33757,39799.35555,88746.15041
M457T883,11136.16911,3970.564182,6489.169308,10659.58681,6183.995803,7652.322373,7393.999592,11827.26035,7087.938222,9051.964898,7541.288152,3645.827206
M490T1663,4212.225311,1365.486058,2398.48434,4399.994293,2672.951243,2147.906129,1361.798651,4267.038803,5442.972672,3071.042077,1636.038449,1524.602441
M311T1187,103749.1921,204588.7627,98283.88112,103158.9409,149681.5679,206648.916,138136.0997,102067.5584,112462.869,164899.249,147006.1193,111759.0534
M113T1288,14887.35126,13055.3503,10445.29936,12923.40274,14642.34032,12530.41364,31283.38584,38323.66532,39216.01222,8016.740042,11349.48209,12090.38321
M460T1784,11223.04846,2717.660694,3921.843723,8204.239581,10441.38715,3174.997967,5444.966496,10798.78006,3327.708125,14792.6935,8253.65708,7934.949966
M896T714,31619.60273,45722.22875,22168.65958,67510.00406,33556.34539,17705.369,15410.98426,21840.49084,22249.32961,20472.38109,24436.81955,17720.20242
M569T766,33250.99178,13440.5609,14485.64074,47702.15377,16326.39461,12315.20668,13646.39925,17361.84441,8593.476846,15426.36256,14120.13835,9289.884213
M819T2274,7357.765506,2249.024007,3007.75235,11666.51836,3164.395392,1871.776955,9312.092223,8470.745432,2377.170639,9698.29874,7098.373727,28805.01022
M318T1281,73597.38943,52917.4737,35673.90783,61410.07852,53603.44424,30586.07485,45821.75876,123746.6902,24947.42927,81702.5355,56748.51035,83564.26676
M226T652,131305.6528,224850.2852,389280.9266,180103.7472,306138.7979,367752.4679,303631.7535,351717.9527,362025.7097,227120.5519,228554.7118,456296.647
M346T1985,18780.56808,15987.19101,5347.750053,12572.36133,12051.43432,10400.44215,9851.731445,9627.410262,6339.405984,26897.20021,12643.37711,26635.4731
M508T779,11419.82456,13371.38136,9593.476264,26889.35081,6696.80492,8781.567346,6926.372893,6862.150139,5908.05398,5212.693353,4077.421736,5514.975245
M459T64,770.2957638,7810.886191,9628.89049,6725.03688,7391.507074,7439.050419,9893.545329,5538.632465,7124.85969,9269.175042,2507.302341,5393.725606
M734T1508,1198569.5,645072.2076,154756.9512,1152944.574,463523.0194,803075.81,905751.0597,685207.1685,2045968.171,2365256.979,300193.5313,1375236.001
M762T1576,585303.6456,258488.9068,968407.5251,758726.2614,193179.1699,1305003.193,491719.3739,348295.0735,3762434.96,666906.2229,247967.4572,1182192.43
M665T1487,8471.175801,6006.459278,2969.156306,6203.140684,5559.404227,3583.607864,7856.553081,6047.129187,3959.047928,6955.554383,5278.507141,3314.657362
M843T1259,3229.186628,9482.989932,2962.889117,4306.210148,6130.056326,2420.380334,5359.368708,2920.85058,5708.389285,7750.998865,3131.416988,1877.133435
M551T1900,32816.29939,11312.88089,13363.19092,24091.617,14468.91894,9489.234073,29260.29997,15934.6688,11968.47418,16627.61543,11487.93878,29012.47037
M138T79,597662.1667,434231.5506,436666.8931,399627.6777,510673.7136,483934.9064,575780.0982,547917.4736,415929.2297,538447.033,574831.5143,482680.9446
M195T58,10607.33847,5538.118669,14161.40211,7266.179004,4860.380325,13926.23335,6258.930823,8555.76945,8581.66784,6330.938301,11883.50221,7317.178184
M454T195,7121.353056,32872.58172,49998.98382,35589.62755,36724.09948,33097.79579,41197.49939,46416.65016,14682.58832,32459.42701,14394.29626,32522.3181
M168T995,18890.71122,9692.122161,12170.19627,14357.70602,14626.48354,15168.33105,19232.03546,14122.56648,14961.95153,14788.0715,14228.16937,18731.32114
M410T691_2,57225.78976,75155.93832,26889.85467,104430.929,66390.17849,21131.3477,19180.63221,24236.87766,44336.36964,29178.76307,32673.71409,22322.84887
M322T1002,38769.1765,21094.75594,18202.9481,22145.31705,22180.02316,45343.03409,21114.18013,19786.14155,18224.46271,94642.41265,21547.52664,17260.49136
M293T1605,343854.5341,221717.0814,215353.9401,327016.7783,212645.863,168571.8996,309028.2348,278533.4112,199648.1799,286351.789,225173.5506,258835.4227
M1156T1748,2743.964908,16294.93021,12003.83374,4978.161322,10434.03552,10418.43901,4146.919258,4380.816057,6290.468455,6336.561197,11832.04911,7594.875735
M78T64,77551.71794,93966.23974,103843.3951,83870.16828,97949.62185,82959.9572,115190.9881,109317.9077,100567.2851,89014.97385,114434.4414,93374.99958
M848T630,4942.603066,10832.53036,8595.620679,6213.604172,8039.144086,7935.264301,7934.596088,6325.229877,7548.188173,12657.25783,8036.149382,15533.60194
M57T2042,1085458.636,673972.0871,566918.2059,1015608.325,538604.7994,509999.3433,970375.5951,872494.5649,501911.0994,939553.3031,699513.6666,537758.1924
M623T1661,34962.65411,18009.46336,13020.87392,31709.75513,13463.02086,9926.643524,31350.11827,17286.9317,9985.636292,12756.3393,10445.49265,7756.886589
M384T908,5965.844077,7674.046768,3962.358984,6857.250473,3224.885388,5771.828382,7908.832528,2555.845965,4866.294977,4891.520455,7585.651016,4424.061622
M800T623,4294.825098,4513.580752,5694.775079,4116.043736,12566.55107,1856.545269,8518.552301,4936.1892,6923.67199,10714.27994,7078.185724,18470.89411
M637T1584,11046.46995,4002.12839,11087.98863,10118.12905,5531.377416,7315.514251,9635.425026,9903.198991,9725.929304,8140.598644,8552.028174,24222.76781
M215T561,739677.5922,856661.6529,1495331.433,552730.7583,495881.1448,1558440.217,1294453.951,2625503.431,1561214.807,1620693.98,1112312.517,1504405.292
M384T1791,11764.74963,4542.575309,4821.070106,9955.012624,5809.759949,8490.994965,9261.810364,8823.435974,6646.770628,7989.084558,8596.97194,5579.19149
M133T1106,121638.071,155008.7533,145448.7395,110342.1667,130777.9255,160520.4142,147412.6082,220273.1669,132602.8244,127686.5632,134027.3456,101104.8749
M395T1438,114759.3721,65703.79667,63334.33879,91583.24596,63394.87254,66511.2784,76282.30042,51235.24314,72917.78176,51353.33504,38307.69172,38772.03332
M285T2099,405981.5079,105120.9949,95572.649,312149.8847,71237.44041,73860.39058,226172.9039,173116.399,39326.12795,206850.5035,111317.4956,83673.40153
M478T772_1,71319.66473,39482.46076,35366.26038,121294.2958,43378.12938,20431.63343,22174.94174,41693.42769,11836.63949,41261.46934,34585.5781,12307.20141
M731T1909,543799.047,87536.97438,689587.8457,708674.1408,140626.7357,784719.2755,1078991.989,855592.1904,746452.2563,766309.8224,365357.114,864486.3065
M392T53,13643.0336,6792.911628,5532.363432,7114.642301,8278.816591,7459.218977,6001.922095,11153.31578,7385.337473,7702.737175,13251.57218,4606.754318
M711T1864,2369.793283,2909.535374,1786.530962,4095.224797,1163.155225,2894.930188,1347.154022,4526.162753,2792.767583,3228.708733,3242.373084,3294.898716
M285T1329,1850017.882,1305690.747,1285729.356,2148225.278,719544.2259,1011375.189,1062957.251,1066730.815,744328.9756,649737.0235,938504.2643,1351546.899
M663T1299,4563.806781,2600.455861,3408.831177,12359.29948,1451.433388,1294.937164,3695.626526,8251.914588,2579.823464,4771.90404,2226.590404,2822.573493
M97T44,42452.68766,233726.9538,236521.3761,139459.7265,223253.2607,233683.425,170251.2256,221193.308,206872.2931,148753.5281,99657.69846,217030.1323
M497T1110,1640.21162,4987.371643,2640.859211,2404.169385,3491.521362,2092.414001,3094.089905,2614.322788,4947.559845,3857.005478,3293.355438,4191.354889
M279T50,1536.079027,3987.20368,6600.134355,4005.261308,2490.897973,3781.12458,3736.568628,1521.2073,2263.339394,3469.727277,1019.76491,1889.34371
M729T1836,5431.752319,1474.068487,2982.612344,4702.012728,788.9775523,2543.371824,4446.123262,4086.893234,2267.901314,4629.631104,2419.039902,5732.567163
M894T1656,1393.113277,2850.221802,2264.916024,2174.369211,3671.981015,1543.005996,3715.390945,2613.610687,2221.362009,2645.006691,1826.894836,2845.201765
M567T1764,7471.77364,30375.10069,3362.548706,9203.530518,14231.42965,7287.074432,7572.161379,9227.649523,21299.58323,11538.4448,12899.79118,14089.71663
