m.z	p.value	t.score
911.3671	0.000264428	-4.654469023
155.0888	0.000272649	4.639563233
357.0869	0.000288878	-4.611444668
136.0831	0.000291071	4.607770803
180.0645	0.000293635	-4.603509757
134.0441	0.000298523	-4.595489797
244.1171	0.00030863	4.579325034
707.4172	0.000313809	-4.571250546
832.9561	0.000319213	-4.562969836
376.3561	0.000327372	4.550734586
386.8015	0.000329102	-4.548179975
614.9722	0.000332631	4.543011543
626.8104	0.00033789	-4.535412053
176.069	0.000344507	4.526020141
612.826	0.000352756	-4.51456791
877.327	0.00035473	-4.511867722
207.9975	0.000357966	4.507473513
647.4964	0.000364904	-4.498188767
759.8618	0.000365344	4.49760629
416.8707	0.000376368	-4.483236159
348.8563	0.000384126	-4.473377885
872.3744	0.000394295	-4.460758671
348.0345	0.000400051	4.4537624
695.3494	0.000402063	4.451341938
795.3935	0.0004052	4.447591355
313.0506	0.000406997	4.445455183
389.8584	0.000413361	-4.437970418
835.9364	0.000417692	-4.432943027
970.8427	0.000421011	-4.429126623
818.9396	0.000426705	4.42264964
332.884	0.000434811	-4.413579201
729.1854	0.000444375	-4.403097175
158.0958	0.000452401	-4.394476509
286.9032	0.000459922	-4.386537778
388.885	0.000476886	-4.369107766
630.0571	0.000482464	4.363514506
221.9837	0.000504624	4.341924277
266.2826	0.000518187	4.329181026
544.8099	0.000547784	-4.302513511
273.037	0.000551057	4.299654653
190.9447	0.000560026	4.291908655
273.8943	0.000587079	-4.269287066
393.0563	0.000608447	-4.252156159
604.9316	0.000611615	-4.249668414
599.0866	0.000633966	4.232480257
424.9996	0.000648679	-4.221499196
660.9989	0.00065495	-4.216895397
192.0324	0.000656583	4.215703526
641.7778	0.000670875	-4.205402163
142.0312	0.000682529	-4.197164975
293.9054	0.000690228	-4.191801415
285.0889	0.00071717	4.17349972
277.0784	0.0007271	-4.166929383
395.2087	0.000728163	4.166231428
289.9104	0.000739554	-4.158816605
716.5071	0.000744282	4.155772687
291.9052	0.000755844	-4.148411448
436.3408	0.000762621	4.144149254
626.8297	0.00076581	-4.142157103
395.9995	0.00077839	-4.134379538
870.8634	0.00078692	4.12917822
250.8793	0.000790666	-4.126911457
728.1039	0.000810361	-4.115172625
445.8265	0.000834245	-4.101318607
754.928	0.000843565	-4.096021347
213.1089	0.000848412	-4.093289757
787.4045	0.000854711	4.089763169
454.1687	0.000861885	4.085779268
139.5303	0.000888362	-4.071359713
176.0692	0.000902491	4.063841879
391.0559	0.000912894	-4.058382278
762.7232	0.000930223	-4.049426264
708.0972	0.000944584	4.042131273
696.8451	0.000973094	4.027975716
260.1118	0.000977754	-4.025702029
275.9578	0.000986572	-4.021429219
944.8587	0.000994605	-4.017570523
667.0743	0.001003926	-4.013132027
261.0356	0.00100787	4.011266683
302.0207	0.001009191	-4.010643263
326.1226	0.001013166	-4.008773009
214.0032	0.001025815	4.00287073
91.542	0.001033527	3.999308262
234.8723	0.001052645	-3.990591282
560.0223	0.001070044	-3.982795554
192.0856	0.001093136	3.97264534
190.9154	0.001113879	3.963710059
249.0456	0.001132028	3.956029184
746.8828	0.001150322	3.948412047
348.0946	0.001162437	-3.943434446
