"m.z" "r.t" "p.value" "t.score" "log2.fc" "effect.size" "st.dev" "lower.ci" "upper.ci" "mode"
"102.9841" "36.21" "0.973910214065012" "0.0752364687365829" "-0.081115" "0.0225520330195488" "0.420916140983696" "-0.580481413339765" "0.625585479378863" "negative"
"102.9871" "95.58" "0.928516282067024" "0.21150481931674" "0.94842" "0.0633982927312152" "1.12934359667522" "-0.539751527853563" "0.666548113315993" "negative"
"103.0131" "3.48" "0.580987996506605" "-0.950230692894651" "-0.13667" "-0.284830406346928" "0.146486941333563" "-0.890530595978773" "0.320869783284917" "negative"
"103.01311" "85.3" "0.685734731889886" "-0.742958770572406" "-0.26737" "-0.222700918948967" "0.267222187002516" "-0.827359470632767" "0.381957632734833" "negative"
"103.0204" "35.73" "0.000377449994516201" "4.67159439378504" "1.5439" "1.40030430443836" "0.26471163961658" "0.735451814025381" "2.06515679485134" "negative"
"103.0268" "41.28" "0.080835868138035" "2.44723480716886" "2.2015" "0.733555430028118" "0.394763903445758" "0.112955925425855" "1.35415493463038" "negative"
"104.0335" "39.95" "0.00134238030364324" "-4.21931512747451" "-0.4642" "-1.26473418639356" "0.119828073502457" "-1.9186326206155" "-0.61083575217162" "negative"
"104.9924" "44.73" "0.438105315083953" "-1.26729120592931" "-0.053266" "-0.379868880098101" "0.20648900565483" "-0.987650499093737" "0.227912738897535" "negative"
"105.0305" "34.85" "0.920559547587748" "0.229399626052395" "0.051153" "0.0687622376259961" "0.124628094767949" "-0.534411078892276" "0.671935554144268" "negative"
"105.0692" "101.68" "0.453697728223878" "-1.23217302048536" "-0.4296" "-0.369342249980843" "0.380460182765708" "-0.976864403835479" "0.238179903873793" "negative"
"105.9586" "37.89" "1.23459589600436e-05" "-5.8550054648985" "-1.3248" "-1.75503022392418" "0.234943545491788" "-2.45272674740559" "-1.05733370044276" "negative"
"106.9209" "33.6" "0.324331538021119" "-1.5347070166613" "-0.20813" "-0.460026419318768" "0.20973955879181" "-1.07001845034536" "0.149965611707823" "negative"
"107.0331" "40.71" "0.0667692685415424" "2.55384709378536" "0.8787" "0.76551232338635" "0.241772860626825" "0.143371559427996" "1.3876530873447" "negative"
"107.0345" "220.63" "0.285185094840511" "1.63642856646715" "0.09537" "0.490517320719964" "0.569794869539117" "-0.120423829496749" "1.10145847093668" "negative"
