"gene","edge","net"
"K01630","edg246","ko01100"
"K01630","edg247","ko01100"
"K01630","edg248","ko01100"
"K01630","edg249","ko01100"
"K01630","edg250","ko01100"
"K01630","edg251","ko01100"
"K01630","edg252","ko01100"
"K01630","edg253","ko01100"
"K01630","edg254","ko01100"
"K01630","edg255","ko01100"
"K01630","edg256","ko01100"
"K01630","edg257","ko01100"
"K01630","edg258","ko01100"
"K01630","edg259","ko01100"
"K01630","edg260","ko01100"
"K01630","edg261","ko01100"
"K01630","edg262","ko01100"
"K01630","edg263","ko01100"
"K01630","edg264","ko01100"
"K01630","edg265","ko01100"
"K01630","edg266","ko01100"
"K01630","edg267","ko01100"
"K01630","edg268","ko01100"
"K01630","edg269","ko01100"
"K01630","edg270","ko01100"
"K01630","edg271","ko01100"
"K01630","edg272","ko01100"
"K01630","edg273","ko01100"
"K01630","edg274","ko01100"
"K01630","edg275","ko01100"
"K01630","edg276","ko01100"
"K01630","edg277","ko01100"
"K01630","edg278","ko01100"
"K01630","edg279","ko01100"
"K13877","edg280","ko01100"
"K19588","edg280","ko01100"
"K22187","edg280","ko01100"
"K13877","edg281","ko01100"
"K19588","edg281","ko01100"
"K22187","edg281","ko01100"
"K13877","edg282","ko01100"
"K19588","edg282","ko01100"
"K22187","edg282","ko01100"
"K13877","edg283","ko01100"
"K19588","edg283","ko01100"
"K22187","edg283","ko01100"
"K13877","edg284","ko01100"
"K19588","edg284","ko01100"
"K22187","edg284","ko01100"
"K13877","edg285","ko01100"
"K19588","edg285","ko01100"
"K22187","edg285","ko01100"
"K13877","edg286","ko01100"
"K19588","edg286","ko01100"
"K22187","edg286","ko01100"
"K13877","edg287","ko01100"
"K19588","edg287","ko01100"
"K22187","edg287","ko01100"
"K13877","edg288","ko01100"
"K19588","edg288","ko01100"
"K22187","edg288","ko01100"
"K13877","edg289","ko01100"
"K19588","edg289","ko01100"
"K22187","edg289","ko01100"
"K13877","edg290","ko01100"
"K19588","edg290","ko01100"
"K22187","edg290","ko01100"
"K13877","edg291","ko01100"
"K19588","edg291","ko01100"
"K22187","edg291","ko01100"
"K13877","edg292","ko01100"
"K19588","edg292","ko01100"
"K22187","edg292","ko01100"
"K08093","edg293","ko01100"
"K13812","edg293","ko01100"
"K13831","edg293","ko01100"
"K08093","edg294","ko01100"
"K13812","edg294","ko01100"
"K13831","edg294","ko01100"
"K08093","edg295","ko01100"
"K13812","edg295","ko01100"
"K13831","edg295","ko01100"
"K08093","edg296","ko01100"
"K13812","edg296","ko01100"
"K13831","edg296","ko01100"
"K08093","edg297","ko01100"
"K13812","edg297","ko01100"
"K13831","edg297","ko01100"
"K08093","edg298","ko01100"
"K13812","edg298","ko01100"
"K13831","edg298","ko01100"
"K08093","edg299","ko01100"
"K13812","edg299","ko01100"
"K13831","edg299","ko01100"
"K08093","edg300","ko01100"
"K13812","edg300","ko01100"
"K13831","edg300","ko01100"
"K08093","edg301","ko01100"
"K13812","edg301","ko01100"
"K13831","edg301","ko01100"
"K08093","edg302","ko01100"
"K13812","edg302","ko01100"
"K13831","edg302","ko01100"
"K08093","edg303","ko01100"
"K13812","edg303","ko01100"
"K13831","edg303","ko01100"
"K08093","edg304","ko01100"
"K13812","edg304","ko01100"
"K13831","edg304","ko01100"
"K08093","edg305","ko01100"
"K13812","edg305","ko01100"
"K13831","edg305","ko01100"
"K08093","edg306","ko01100"
"K13812","edg306","ko01100"
"K13831","edg306","ko01100"
"K08093","edg307","ko01100"
"K13812","edg307","ko01100"
"K13831","edg307","ko01100"
"K08093","edg308","ko01100"
"K13812","edg308","ko01100"
"K13831","edg308","ko01100"
"K08093","edg309","ko01100"
"K13812","edg309","ko01100"
"K13831","edg309","ko01100"
"K08093","edg310","ko01100"
"K13812","edg310","ko01100"
"K13831","edg310","ko01100"
"K08093","edg311","ko01100"
"K13812","edg311","ko01100"
"K13831","edg311","ko01100"
"K08093","edg312","ko01100"
"K13812","edg312","ko01100"
"K13831","edg312","ko01100"
"K08093","edg313","ko01100"
"K13812","edg313","ko01100"
"K13831","edg313","ko01100"
"K08093","edg314","ko01100"
"K13812","edg314","ko01100"
"K13831","edg314","ko01100"
"K08093","edg315","ko01100"
"K13812","edg315","ko01100"
"K13831","edg315","ko01100"
"K08093","edg316","ko01100"
"K13812","edg316","ko01100"
"K13831","edg316","ko01100"
"K08093","edg317","ko01100"
"K13812","edg317","ko01100"
"K13831","edg317","ko01100"
"K08093","edg318","ko01100"
"K13812","edg318","ko01100"
"K13831","edg318","ko01100"
"K08093","edg319","ko01100"
"K13812","edg319","ko01100"
"K13831","edg319","ko01100"
"K08093","edg320","ko01100"
"K13812","edg320","ko01100"
"K13831","edg320","ko01100"
"K08093","edg321","ko01100"
"K13812","edg321","ko01100"
"K13831","edg321","ko01100"
"K08093","edg322","ko01100"
"K13812","edg322","ko01100"
"K13831","edg322","ko01100"
"K08093","edg323","ko01100"
"K13812","edg323","ko01100"
"K13831","edg323","ko01100"
"K08093","edg324","ko01100"
"K13812","edg324","ko01100"
"K13831","edg324","ko01100"
"K08093","edg325","ko01100"
"K13812","edg325","ko01100"
"K13831","edg325","ko01100"
"K08093","edg326","ko01100"
"K13812","edg326","ko01100"
"K13831","edg326","ko01100"
"K08093","edg327","ko01100"
"K13812","edg327","ko01100"
"K13831","edg327","ko01100"
"K08093","edg328","ko01100"
"K13812","edg328","ko01100"
"K13831","edg328","ko01100"
"K08093","edg329","ko01100"
"K13812","edg329","ko01100"
"K13831","edg329","ko01100"
"K08093","edg330","ko01100"
"K13812","edg330","ko01100"
"K13831","edg330","ko01100"
"K08093","edg331","ko01100"
"K13812","edg331","ko01100"
"K13831","edg331","ko01100"
"K08093","edg332","ko01100"
"K13812","edg332","ko01100"
"K13831","edg332","ko01100"
"K08093","edg333","ko01100"
"K13812","edg333","ko01100"
"K13831","edg333","ko01100"
"K08093","edg334","ko01100"
"K13812","edg334","ko01100"
"K13831","edg334","ko01100"
"K08093","edg335","ko01100"
"K13812","edg335","ko01100"
"K13831","edg335","ko01100"
"K08093","edg336","ko01100"
"K13812","edg336","ko01100"
"K13831","edg336","ko01100"
"K08093","edg337","ko01100"
"K13812","edg337","ko01100"
"K13831","edg337","ko01100"
"K08093","edg338","ko01100"
"K13812","edg338","ko01100"
"K13831","edg338","ko01100"
"K08093","edg339","ko01100"
"K13812","edg339","ko01100"
"K13831","edg339","ko01100"
"K08093","edg340","ko01100"
"K13812","edg340","ko01100"
"K13831","edg340","ko01100"
"K08093","edg341","ko01100"
"K13812","edg341","ko01100"
"K13831","edg341","ko01100"
"K08093","edg342","ko01100"
"K13812","edg342","ko01100"
"K13831","edg342","ko01100"
"K08093","edg343","ko01100"
"K13812","edg343","ko01100"
"K13831","edg343","ko01100"
"K08093","edg344","ko01100"
"K13812","edg344","ko01100"
"K13831","edg344","ko01100"
"K08093","edg345","ko01100"
"K13812","edg345","ko01100"
"K13831","edg345","ko01100"
"K08093","edg346","ko01100"
"K13812","edg346","ko01100"
"K13831","edg346","ko01100"
"K08093","edg347","ko01100"
"K13812","edg347","ko01100"
"K13831","edg347","ko01100"
"K08093","edg348","ko01100"
"K13812","edg348","ko01100"
"K13831","edg348","ko01100"
"K08093","edg349","ko01100"
"K13812","edg349","ko01100"
"K13831","edg349","ko01100"
"K08093","edg350","ko01100"
"K13812","edg350","ko01100"
"K13831","edg350","ko01100"
"K08093","edg351","ko01100"
"K13812","edg351","ko01100"
"K13831","edg351","ko01100"
"K08093","edg352","ko01100"
"K13812","edg352","ko01100"
"K13831","edg352","ko01100"
"K08093","edg353","ko01100"
"K13812","edg353","ko01100"
"K13831","edg353","ko01100"
"K08093","edg354","ko01100"
"K13812","edg354","ko01100"
"K13831","edg354","ko01100"
"K08093","edg355","ko01100"
"K13812","edg355","ko01100"
"K13831","edg355","ko01100"
"K08093","edg356","ko01100"
"K13812","edg356","ko01100"
"K13831","edg356","ko01100"
"K08093","edg357","ko01100"
"K13812","edg357","ko01100"
"K13831","edg357","ko01100"
"K08093","edg358","ko01100"
"K13812","edg358","ko01100"
"K13831","edg358","ko01100"
"K08093","edg359","ko01100"
"K13812","edg359","ko01100"
"K13831","edg359","ko01100"
"K08093","edg360","ko01100"
"K13812","edg360","ko01100"
"K13831","edg360","ko01100"
"K08093","edg361","ko01100"
"K13812","edg361","ko01100"
"K13831","edg361","ko01100"
"K08093","edg362","ko01100"
"K13812","edg362","ko01100"
"K13831","edg362","ko01100"
"K08093","edg363","ko01100"
"K13812","edg363","ko01100"
"K13831","edg363","ko01100"
"K08093","edg364","ko01100"
"K13812","edg364","ko01100"
"K13831","edg364","ko01100"
"K08093","edg365","ko01100"
"K13812","edg365","ko01100"
"K13831","edg365","ko01100"
"K08093","edg366","ko01100"
"K13812","edg366","ko01100"
"K13831","edg366","ko01100"
"K11214","edg367","ko01100"
"K18242","edg368","ko01100"
"K18243","edg368","ko01100"
"K14578","edg368","ko01100"
"K14581","edg368","ko01100"
"K18242","edg369","ko01100"
"K18243","edg369","ko01100"
"K14578","edg369","ko01100"
"K14581","edg369","ko01100"
"K18242","edg370","ko01100"
"K18243","edg370","ko01100"
"K14578","edg370","ko01100"
"K14581","edg370","ko01100"
"K18242","edg371","ko01100"
"K18243","edg371","ko01100"
"K14578","edg371","ko01100"
"K14581","edg371","ko01100"
"K18242","edg372","ko01100"
"K18243","edg372","ko01100"
"K14578","edg372","ko01100"
"K14581","edg372","ko01100"
"K18242","edg373","ko01100"
"K18243","edg373","ko01100"
"K14578","edg373","ko01100"
"K14581","edg373","ko01100"
"K18242","edg374","ko01100"
"K18243","edg374","ko01100"
"K14578","edg374","ko01100"
"K14581","edg374","ko01100"
"K18242","edg375","ko01100"
"K18243","edg375","ko01100"
"K14578","edg375","ko01100"
"K14581","edg375","ko01100"
"K18242","edg376","ko01100"
"K18243","edg376","ko01100"
"K14578","edg376","ko01100"
"K14581","edg376","ko01100"
"K18242","edg377","ko01100"
"K18243","edg377","ko01100"
"K14578","edg377","ko01100"
"K14581","edg377","ko01100"
"K18242","edg378","ko01100"
"K18243","edg378","ko01100"
"K14578","edg378","ko01100"
"K14581","edg378","ko01100"
"K18242","edg379","ko01100"
"K18243","edg379","ko01100"
"K14578","edg379","ko01100"
"K14581","edg379","ko01100"
"K18242","edg380","ko01100"
"K18243","edg380","ko01100"
"K14578","edg380","ko01100"
"K14581","edg380","ko01100"
"K18242","edg381","ko01100"
"K18243","edg381","ko01100"
"K14578","edg381","ko01100"
"K14581","edg381","ko01100"
"K18242","edg382","ko01100"
"K18243","edg382","ko01100"
"K14578","edg382","ko01100"
"K14581","edg382","ko01100"
"K18242","edg383","ko01100"
"K18243","edg383","ko01100"
"K14578","edg383","ko01100"
"K14581","edg383","ko01100"
"K18242","edg384","ko01100"
"K18243","edg384","ko01100"
"K14578","edg384","ko01100"
"K14581","edg384","ko01100"
"K18242","edg385","ko01100"
"K18243","edg385","ko01100"
"K14578","edg385","ko01100"
"K14581","edg385","ko01100"
"K18242","edg386","ko01100"
"K18243","edg386","ko01100"
"K14578","edg386","ko01100"
"K14581","edg386","ko01100"
"K18242","edg387","ko01100"
"K18243","edg387","ko01100"
"K14578","edg387","ko01100"
"K14581","edg387","ko01100"
"K18242","edg388","ko01100"
"K18243","edg388","ko01100"
"K14578","edg388","ko01100"
"K14581","edg388","ko01100"
"K18242","edg389","ko01100"
"K18243","edg389","ko01100"
"K14578","edg389","ko01100"
"K14581","edg389","ko01100"
"K18242","edg390","ko01100"
"K18243","edg390","ko01100"
"K14578","edg390","ko01100"
"K14581","edg390","ko01100"
"K18242","edg391","ko01100"
"K18243","edg391","ko01100"
"K14578","edg391","ko01100"
"K14581","edg391","ko01100"
"K18242","edg392","ko01100"
"K18243","edg392","ko01100"
"K14578","edg392","ko01100"
"K14581","edg392","ko01100"
"K18242","edg393","ko01100"
"K18243","edg393","ko01100"
"K14578","edg393","ko01100"
"K14581","edg393","ko01100"
"K18242","edg394","ko01100"
"K18243","edg394","ko01100"
"K14578","edg394","ko01100"
"K14581","edg394","ko01100"
"K18242","edg395","ko01100"
"K18243","edg395","ko01100"
"K14578","edg395","ko01100"
"K14581","edg395","ko01100"
"K18242","edg396","ko01100"
"K18243","edg396","ko01100"
"K14578","edg396","ko01100"
"K14581","edg396","ko01100"
"K18242","edg397","ko01100"
"K18243","edg397","ko01100"
"K14578","edg397","ko01100"
"K14581","edg397","ko01100"
"K18242","edg398","ko01100"
"K18243","edg398","ko01100"
"K14578","edg398","ko01100"
"K14581","edg398","ko01100"
"K18242","edg399","ko01100"
"K18243","edg399","ko01100"
"K14578","edg399","ko01100"
"K14581","edg399","ko01100"
"K18242","edg400","ko01100"
"K18243","edg400","ko01100"
"K14578","edg400","ko01100"
"K14581","edg400","ko01100"
"K18242","edg401","ko01100"
"K18243","edg401","ko01100"
"K14578","edg401","ko01100"
"K14581","edg401","ko01100"
"K18242","edg402","ko01100"
"K18243","edg402","ko01100"
"K14578","edg402","ko01100"
"K14581","edg402","ko01100"
