#NAME	GSM1432676	GSM1432677	GSM1432646	GSM1432647	GSM1432648
#CLASS	CONTROL	CONTROL	INFECTED	INFECTED	INFECTED
17305	-0.09320569	-0.14176059	0.34689832	0.51393723	0.007241964
52150	0.065315803	-0.24904847	0.798969984	0.60502903	0.6696093
14187	-0.102119684	-0.1565659	0.37133384	0.57067657	0.1921246
14007	-0.021714849	-0.140244961	0.467523253	0.52138994	0.314271773
14245	0.02954324	0.520460907	-0.311073453	-0.246381123	-0.240750157
13112	0.5310602	0.71168375	-2.1762075	-2.0234547	-2.213471
13000	0.57639383	0.35756326	0.23350406	0.279169325	-0.033527614
20540	0.05310297	-0.087818146	0.33071423	0.44270992	0.3977661
56530	-0.22081757	-0.06434965	-0.47236156	-0.10963535	-0.32994318
228061	-0.2736361	-0.36921834	0.49837208	0.53634167	0.44787836
53614	0.19895172	0.2009139	-0.2974248	-0.3270235	-0.2344923
56318	-0.07204926	-0.056979062	-0.190681332	-0.24243748	-0.15963423
170733	0.051826	-0.080881596	0.34571743	0.1462245	0.17586851
20340	-0.1867733	-0.26441526	0.33853436	0.56841373	0.3951373
228846	0.117732765	0.034173249	-0.080893278	-0.074752092	-0.000826122
14874	0.020349503	0.1768651	-1.0650101	-0.85052395	-0.7233043
14778	-1.1792221	-1.2429461	1.2251701	1.456625	0.7582755
279572	0.024606228	0.013790368	0.49389505	0.34112811	0.388700005
69537	-0.011762619	0.006748676	0.15017128	-0.04091215	0.099787235
14790	-0.05852294	0.3303802	-0.43120933	-0.4311235	-0.53345895
69816	-1.4442732	-1.4451888	2.238734	2.6786182	1.1049435
56219	-0.1138711	-0.010306358	-0.30734777	-0.1757698	0.11978054
21887	0.102461578	0.082632462	-0.057222606	-0.07933116	-0.063529096
18573	-0.024828913	-0.12953933	0.11815548	0.199115117	0.001193048
56794	0.556285145	0.157096625	-0.852035023	-0.73800348	-0.76199056
14739	0.074826956	-0.39851356	0.26980853	0.5686357	-0.001201391
12569	0.06224656	0.019536734	0.11205459	-0.087344885	0.07189393
12365	0.24114871	0.111315966	-0.10643172	-0.29008174	-0.04269719
60363	0.069490432	-0.074604193	0.054655233	0.10625585	0.093391738
317758	0.102086544	-0.00562191	-0.014577866	-0.08750391	-0.08300257
80287	-0.13341665	0.005472183	0.35294342	0.1720314	0.10332966
104681	-0.133648315	-0.096611898	0.438466317	0.282847323	0.34400947
16647	0.1388309	0.16837335	-0.005659819	-0.2563007	0.008072615
107939	0.08686352	0.28573418	0.54011774	0.059592247	0.011006832
171180	0.057908295	0.07997942	0.01415801	-0.172624825	0.088033685
114601	-0.041441917	-0.2282567	0.3651433	0.1900301	0.5007076
28193	-0.06674147	0.16568756	-0.33126593	-0.4929738	-0.3369751
104923	0.623777175	0.779712923	-0.550137048	-0.500786065	-0.337185135
67264	-0.028131485	0.30918837	-0.61044216	-0.41220856	-0.5630498
17684	0.101290226	-0.095460415	-0.1624155	-0.14438915	-0.060890675
18670	0.48369217	0.120091915	-0.92657185	-0.74833584	-0.7811532
93757	0.5624194	0.7965908	-1.0889611	-0.7168193	-0.74482155
18778	0.13532233	-0.007984877	-0.21172547	-0.2783196	0.004086733
228859	0.3473239	0.3526497	-0.5706601	-0.8027978	-0.48781776
12833	-0.665408135	-0.584650995	1.1769273	1.9063952	0.41325021
269587	0.18090701	0.46611142	-0.4246471	-0.1610601	-0.34242797
14733	-1.2444024	-1.2418547	0.35941458	0.48901415	0.1313057
12337	-0.26736212	-0.54715014	0.35253143	0.32257843	0.20533037
380773	-0.075323345	0.104732275	-0.138330695	0.0531919	-0.167732005
11647	-0.19435167	0.10085869	0.5139928	0.19492483	0.0965786
56078	0.140779177	0.074372609	-0.14761273	-0.159649051	-0.081453483
14628	-0.43061495	-0.35444164	0.38883448	0.3984704	0.33367252
12615	-0.072719574	-0.53774977	1.4627209	1.524375	1.2415338
216558	0.21205282	0.7473068	-1.5814614	-1.1401954	-1.1755762
20211	-0.63205934	-0.21815753	0.9701164	0.8685224	1.2568123
192174	0.04338336	0.051588774	-0.1869061	-0.073443174	-0.10399032
11845	-0.16186094	-0.23004532	0.4911847	0.48022795	0.35821152
246177	-0.11119342	-0.001655817	1.3363435	1.0302551	1.1368887
14133	0.3705473	0.21534109	0.8165293	0.59603786	1.1247592
110006	-0.083658777	-0.005785545	0.367911572	0.318075261	0.230571503
12036	-0.29825878	-0.13467741	-0.15757751	-0.18027592	0.016038418
243983	-0.027216913	-0.255058609	-0.04227193	0.074575423	0.040565174
13511	0.017290592	0.043729941	-0.351052918	-0.297848067	-0.240100857
110749	-0.000602	-0.15108824	0.66218615	0.29001522	0.5173998
74122	-0.28729999	-0.367492085	0.517762535	0.5904931	0.606211065
170789	0.286958377	0.081249875	-0.221296943	-0.34387938	-0.250603203
60406	0.19708443	-0.21598005	0.6872091	0.8218298	0.5542064
56428	0.482386273	0.587077623	-0.93577449	-0.70650101	-0.624948343
170813	0.041175605	-0.01161599	1.26734735	1.26603605	1.03306195
14629	0.22827816	-0.031142712	0.07908249	-0.31088257	-0.2544303
15040	0.178722144	0.40279173	-0.241868735	-0.067422153	-0.126158
101497	-0.058778842	0.071785212	0.190572503	0.044754268	0.083698989
59030	0.058913629	0.188115675	-0.361794073	-0.38570459	-0.197430688
55927	-0.061440937	0.846427447	-0.562760033	-0.657034557	-0.405507247
11501	0.049118041	0.013935804	0.09848547	0.0918684	0.074627877
53608	0.036878824	0.067058325	-0.056870222	-0.031540155	0.06828141
66826	0.197440025	0.25739515	-0.61535465	-0.54223001	-0.49308074
