#NAME	GSM631514	GSM631515	GSM631516	GSM631517	GSM631518	GSM631519	GSM631520	GSM631521	GSM631522	GSM631523	GSM631524	GSM631525	GSM631526	GSM631527	GSM631528	GSM631529	GSM631530	GSM631531	GSM631532	GSM631533	GSM631534	GSM631535	GSM631536	GSM631537
#CLASS	CONTROL	CONTROL	CONTROL	CONTROL	CONTROL	CONTROL	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED
16402	-0.243581775	0.202700855	-0.13834977	0.04088068	0.069356443	0.06899309	0.470201725	-0.041014195	0.80785012	0.215581655	-0.00940919	-0.080005885	1.1371396	0.80979824	1.0572226	0.67491673	1.5482757	0.671437735	0.55358291	1.5808489	0.200535775	0.75611045	0.29562283	0.53884935
107435	0.009191513	-0.037698746	-0.08088398	0.02850914	-0.001664162	0.082549095	0.6746845	0.46126652	-0.031972885	-0.24030876	0.5427351	0.7096939	0.5681915	1.0869207	0.3700199	0.92963123	0.5625582	1.060296	0.09648895	-0.35992432	0.26344013	0.27435875	0.3785286	0.67477894
76959	-0.70706844	-0.3197832	-0.69887066	1.0268507	0.5246897	0.17418194	-0.45483303	-0.68523884	-0.3617239	0.66600704	0.44379902	0.24016476	-0.7296667	-0.54554653	-0.35602283	0.429492	0.23067284	0.46386433	-0.65400314	-1.0056362	-0.5701647	0.860507	0.34469318	0.47988224
14373	0.6503267	-0.5807085	0.11010265	-0.06961727	0.3907919	-0.5008936	-0.1766119	-0.5260935	0.13121319	-1.3131838	-1.1233339	-0.89663696	-0.4001093	-1.7476587	0.34437275	-1.4047003	-0.18014812	-2.4537497	-0.43197823	0.001139641	-2.4882908	-0.20322704	-1.5347748	-2.0652342
68588	-0.073327544	0.001586438	0.190196275	0.071740628	-0.053096531	-0.137099265	-0.02766061	0.047044277	0.046376465	-0.135832548	0.128625155	0.12078452	0.904018862	0.954199095	0.570825325	1.100778603	0.917934175	1.144718895	0.53791595	0.698970315	0.401000738	0.217129235	0.565141682	0.549575552
12443	-0.19756413	0.15078449	-0.10790539	0.04677868	0.23534489	-0.12744045	0.4727459	-0.23981762	0.4429865	0.006678581	-1.1259928	-0.64938736	0.35887432	0.4074173	-0.6894369	0.38505077	0.15563202	0.1091032	-0.0614748	0.34610844	-0.029928207	-0.56434345	-0.070970535	-0.02730465
381218	-0.40342474	-0.006512642	-0.21923018	0.40993786	0.3563733	-0.13714361	-0.2431879	-0.35596657	-0.3805833	0.43935966	-0.012104511	-0.05410528	-0.5329585	-0.25096035	-0.5485554	-0.58285475	-0.7811494	-0.6986923	-0.79855824	-0.51451206	-0.74439764	-0.53256464	-0.5430188	-0.40511417
70297	0.09020249	0.131451132	0.149267196	-0.221652825	-0.054857732	-0.094408671	-0.132921379	0.092072169	-0.008932113	-0.415972552	-0.106149833	0.125389737	-0.332424	0.105153085	-0.58972707	-0.183935643	-0.423699697	-0.207641113	-0.163665453	-1.207491397	-0.04502075	-0.527117567	-0.329326312	-0.158081362
18626	0.202281475	0.016488075	0.080688952	-0.218769075	-0.125092745	0.044403552	-0.260933868	0.8403499	-0.338320255	-0.077411652	1.6819155	1.2537129	0.352701425	1.6941173	0.49253273	1.68707585	1.13396905	1.9790957	2.1876605	0.62420415	1.383971	1.26485375	2.499737	1.4533417
71743	-0.002319336	0.15488625	0.035575867	-0.15256882	-0.31308746	0.2775116	-0.17845249	-0.02757454	-0.25578117	-0.35433674	-0.30491447	-0.3373232	-0.84601593	-0.96726894	-0.567194	-1.5726185	-0.70049286	-1.1794701	-0.73692894	-0.26322365	-0.64742756	-1.11516	-1.1758871	-0.76260376
21391	-0.176001068	0.099273207	-0.2645607	0.076728108	-0.093693497	0.358253485	1.27581215	0.770993485	0.776635185	0.96874187	0.593984835	0.77003645	1.5806236	1.8019645	1.8222609	2.33149175	1.409749	1.7962792	1.12356135	2.31330205	1.040754575	1.494751	1.5835636	1.40108705
74349	-0.049794197	0.20701694	-0.25744247	-0.1572237	0.1253624	0.13208008	0.22794724	-0.16475296	0.11080265	0.14709473	-0.20355797	0.089203835	0.63909435	0.302598	0.452878	0.5763302	0.5301714	0.4404049	0.56200695	1.0847311	0.31727314	0.7156782	0.17544842	0.43284988
11964	-0.30466175	-0.07545376	-0.3305769	0.38011837	0.45382977	-0.12325382	-0.47158527	-0.57088375	0.056031227	0.7639351	-0.01196003	0.21773434	0.00404644	0.004473686	-0.06564808	0.8189573	0.17475224	0.3253889	-0.2488451	-1.1833601	-0.08853531	0.79921246	0.67205524	0.62468433
18041	-0.135899386	-0.013631184	-0.112144628	0.14953041	0.188835145	-0.076690674	-0.207426073	-0.177394868	-0.1786321	-0.10679436	0.01986758	-0.073247911	-0.635432383	-0.549540833	-0.42836984	-0.452926627	-0.453013103	-0.15448634	-0.471554597	-0.49898545	-0.333966581	-0.276308707	-0.18541559	-0.064311347
66336	0.002608299	0.043670177	-0.000157	-0.046277046	0.030743599	-0.030585289	0.09141874	0.121833324	0.07958698	-0.123334885	-0.08110571	0.06681299	0.5192847	0.6473923	0.7663779	1.4188995	0.4303236	0.7929554	0.09196615	0.1378417	0.20284653	0.23345757	-0.024503231	0.3179078
56277	0.138889152	-0.051875751	0.160793623	-0.087012768	-0.09245332	-0.068340938	0.06221088	-0.213586337	-0.212498188	0.150269509	0.096375308	0.011731359	0.51478846	0.559040553	0.248757845	0.37574737	0.527634773	0.43605964	0.237250797	0.566435641	0.001853783	0.319795293	0.067300467	0.261759755
70652	-0.17442226	-0.0320975	-0.019202389	0.206519125	-0.101169903	0.12037214	-0.092931907	-0.080444973	0.038153173	0.323911033	-0.126071614	-0.054007373	-0.38759804	-0.285103003	-0.369717437	-0.378016467	-0.45895672	-0.206500533	-0.470646227	-0.30600389	-0.417452023	-0.378855545	-0.294148917	-0.170691333
67466	0.08949947	0.15110683	0.07690525	-0.24060726	-0.026442528	-0.050463676	0.35103798	0.21205235	0.27151585	0.11503315	-0.22165394	-0.14649868	0.42500973	0.3339424	0.30476284	0.232728	-0.047617912	-0.003617287	0.19758224	-0.8491392	0.5157757	0.005221367	0.20184422	0.0984869
67830	-0.450106145	-0.154157163	-0.499039175	0.604263763	0.220941069	0.27809954	-0.434114935	-0.791022775	-0.22526407	0.51084614	-0.299112804	-0.158333785	-0.46389627	-0.52707434	-0.073315146	-0.06641244	0.102871415	0.043622495	-0.30685568	-0.460981845	-0.44690083	0.53978969	0.02501583	-0.06159925
50708	-0.0826025	-0.17784405	0.17111683	0.2604475	0.20442867	-0.37554264	0.5339298	0.068636894	0.17526722	0.033335686	-0.2570219	-0.16798401	-0.33905506	0.55240726	-0.15883923	0.2869978	0.078700066	0.6366358	0.21680546	0.8871317	0.7106285	-0.0884161	0.5699558	1.1229792
64209	0.023523331	-0.067036629	0.00950527	0.043512345	-0.2594347	0.24992847	-0.95731305	-0.25360965	-1.13229275	-1.010415065	0.39827347	0.05187702	-0.78505515	0.125610825	-0.98360155	-0.387179375	-0.67116117	-0.063856125	-0.17250776	-0.8988409	0.5993886	-0.73502065	-0.119769097	-0.033816337
382062	-0.022163868	-0.031171322	-0.23017263	0.053335667	0.002741337	0.22743177	0.8975301	0.5378804	0.5271702	0.84467554	0.36650229	0.8359461	1.4786582	1.1158147	1.5818877	1.2239404	1.1968083	1.0412192	0.96661043	1.8245559	0.80713654	0.9783392	0.30940104	0.84200907
320204	-0.21150112	-0.087563515	-0.31519604	0.2990656	0.27811718	0.03707981	-0.5309181	-0.20828152	-0.3862791	-0.15235806	0.39384365	0.25553703	0.39521694	0.8999491	0.98647976	0.75213337	0.29700089	1.0566168	0.82989025	-0.66055965	1.1261415	1.0335569	1.2670956	1.0475149
26894	0.015028955	0.026033719	-0.047553061	-0.041063626	-0.18249798	0.230050723	0.05226358	-0.103422483	-0.14620495	-0.295893987	-0.328798613	-0.4183499	-0.290632567	-0.434837983	-0.12394619	-0.49631722	-0.442993487	-0.47473621	-0.3362875	0.108455977	-0.38815848	-0.595643683	-0.501563393	-0.611505183
20973	0.084745726	0.088939983	-0.052676838	-0.17368539	-0.115569112	0.168245635	0.35020161	0.132915177	-0.06205082	-0.121858278	-0.126404127	-0.28801663	0.227307953	0.095797221	0.430373187	-0.14714845	0.079285303	-0.049361864	0.007160824	1.0231403	0.015224775	-0.168274243	-0.092200598	-0.6829125
244713	-0.105010031	0.090077399	-0.090677578	0.014932952	-0.06953891	0.160216332	-0.152751923	-0.038088797	-0.087417922	-0.148730912	0.023699123	0.13823827	-0.30474504	-0.029785156	-0.275415107	-0.180546125	-0.342839243	-0.204686167	-0.258681617	-1.094713367	-0.035526278	-0.34550191	-0.211231547	-0.181741395
56422	-0.009487034	0.062114238	-0.056753277	-0.052627446	-0.067938091	0.124692438	-0.26962042	-0.090529441	-0.216335295	-0.391482948	-0.175895214	-0.001387239	-0.54991864	-0.475105763	-0.39905679	-0.5870117	-0.671694285	-0.530681973	-0.57691598	-0.677710523	-0.293910503	-0.491150376	-0.504088643	-0.525179745
13139	0.09898329	0.052661421	-0.015557766	-0.15164423	-0.309213165	0.32477045	0.30190611	0.06178236	0.575892	0.147670265	-0.170039655	0.23985958	0.535144325	0.5279236	0.66083098	0.196721555	0.76864482	0.038586138	0.36211443	0.6062665	0.090361597	0.02186346	0.059684754	0.188175675
22224	-0.323252993	0.041567483	-0.307840667	0.281686313	0.246621765	0.061218897	-0.142010689	-0.66504717	-0.004365922	0.269935351	-0.134806315	-0.004524867	-0.101014297	-0.577450593	0.111481505	-0.009916945	0.217452843	-0.144557	-0.208965143	0.1669364	-0.403300131	0.306122777	0.189223295	-0.14835183
28169	-0.4451294	-0.15403748	-0.30998325	0.59916687	0.3009367	0.009045601	-0.8835573	-0.7724619	-0.5845909	0.38687897	-0.06812	-0.4896202	-1.3110962	-0.974329	-0.92637634	-0.6920595	-1.4198618	-0.6964998	-0.68840504	-0.6055088	-0.5923128	-0.0410347	-0.046206474	-0.49844456
56228	-0.5278168	-0.23612309	-0.4646783	0.7639408	0.44651413	0.018163681	-0.16866684	-1.0234094	0.047546387	0.7234144	0.20793915	0.11048412	0.04872513	-0.010663986	0.04380989	0.74106026	0.96291924	0.7452526	0.104115486	-0.09940338	0.12086868	1.3081112	1.0081015	0.7027035
73712	1.492663087	-0.663186068	-0.035765013	-0.829476543	-0.069506327	0.105271337	-0.885245327	0.05440728	-0.960039807	-0.915206923	2.098385967	-0.020765146	-0.211938858	0.958645347	0.071141081	1.113996817	0.044055463	0.619208973	-0.217205527	-0.14981492	0.500264795	-0.161428609	0.726409113	0.6760327
54128	-0.050370335	0.020799518	-0.097726106	0.029571415	-0.076448801	0.174175265	0.024464487	-0.183170556	-0.001797675	0.158346293	-0.237396958	-0.24102891	-0.134139778	-0.368535163	-0.016872765	-0.462458249	-0.168196555	-0.372218723	-0.269097328	0.00608551	-0.20539224	-0.262251369	-0.279564018	-0.59082722
330790	-0.23257923	0.3091936	-0.36367512	-0.07661533	0.26928806	0.09438801	-0.14294052	0.061522484	0.2279005	-0.14437103	0.13051891	0.003938675	0.15604115	0.3478365	-0.020018578	-0.5237055	0.088666916	-0.11004734	0.21911526	0.46288586	0.5373907	-0.17062283	0.38306808	0.2062254
101943	0.029075623	0.16111946	-0.042776108	-0.19019508	-0.19735909	0.2401352	0.39921188	-0.16615868	0.31523323	-0.013953209	-0.1611023	0.031225204	-0.014625549	-0.25613022	-0.5330925	-0.20892906	-0.010053635	-0.6944523	0.35721874	0.8548603	-0.5353422	-0.4312172	-0.9350138	-0.51408005
23797	0.1786592	-0.05594945	-0.045394184	-0.122709035	0.008695602	0.036699057	0.55092074	0.283286095	0.372751	0.37783218	0.313800335	0.50826405	0.74907685	0.7617383	0.85804082	0.94631765	0.960796815	0.682474625	0.47227739	0.37787414	0.59225201	0.4227221	0.34268665	0.68076612
70178	-0.6445036	-0.06292057	-0.46957207	0.7074213	0.424469	0.045103073	-0.66769695	-0.7577057	-0.36256695	0.42553806	0.102256775	0.06597805	-1.1036997	-1.1890621	-0.6115999	-0.34051704	-0.17033577	0.007825851	-0.9110184	-0.5801668	-0.519187	0.8049536	0.040926933	-0.014825821
224630	-0.11243725	0.2714529	-0.06955814	-0.15901661	-0.12189579	0.19145298	0.18185234	-0.10311031	-0.09076214	-0.12689209	-0.27135372	-0.2664261	-0.28787136	-0.19006348	-0.11663914	-0.39713573	-0.6339588	-0.43184948	-0.3938732	0.1549902	-0.22004604	-0.5446329	-0.50298023	-0.47448063
11988	0.065555476	0.003799343	-0.12126341	-0.069355007	-0.095647334	0.216911131	-0.140741063	-0.070139695	-0.135737804	-0.184550284	0.073549748	0.122234153	-0.388818074	0.057162476	-0.35562458	0.007241155	-0.302946664	0.248507027	0.243204688	-0.205040452	-0.04705429	-0.166472053	0.1692975	-0.060002424
77701	0.10468769	-0.031485558	0.37898302	-0.07320118	0.14268732	-0.5216718	0.303905	0.31485415	0.17957449	-0.15186882	-0.29852867	-0.26896477	-0.34264183	-0.5457425	-0.39155197	-1.2734389	-0.6613445	-0.9359765	-0.581295	-0.3923669	-0.50564146	-0.6987815	-0.76912594	-0.6346793
