#NAME	GSM1704234	GSM1704235	GSM1704236	GSM1704237	GSM1704238	GSM1704239	GSM1704240	GSM1704241	GSM1704242
#CLASS	CONTROL	CONTROL	CONTROL	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED
55949	10.97115048	10.85387703	10.95470077	11.61941624	11.44581555	11.5174368	12.18355097	11.79647537	11.66048096
23792	8.205956375	7.975083977	8.205956375	8.285064495	8.25134343	8.205956375	8.205956375	8.468257516	8.239405739
213527	4.822505452	4.791594916	4.924398174	4.762192966	4.745376006	4.820196856	4.895391299	4.835881965	4.822505452
66646	8.956176929	9.209399985	8.801606981	8.751376859	8.893113506	8.739813365	8.048089419	8.639187841	8.456408011
227231	13.06979304	13.06856954	13.18812288	13.13154723	13.01743297	12.9104064	12.63011177	13.04209366	13.16035098
16008	10.38060937	10.36453379	10.43417012	10.28021554	9.79660396	10.22474051	9.06894259	8.630465147	9.652115575
12765	4.708399083	5.23001445	4.53564755	5.421709399	5.421709399	5.020327933	7.83015087	7.161608398	8.804307459
227289	6.748449726	6.669150542	6.737767232	6.567223835	6.642232087	6.788038266	7.150856182	6.969896157	6.984790211
18173	8.456509552	8.766309884	8.786357147	9.213289356	8.588173354	8.762876654	9.262985527	8.358348454	8.897050712
104086	12.20124097	11.96728101	12.14498854	12.07676181	12.01647627	12.15141874	10.51560726	11.19623707	11.72960247
227298	10.24890546	10.12017567	10.19060307	9.961210267	9.806973974	9.971603657	9.506909563	9.368381247	9.55849515
68818	8.324035815	8.255761318	8.41408799	8.293629213	8.198978777	8.237780702	8.220507403	8.015037978	8.069405293
56812	8.584056532	8.811865051	8.46584047	8.591376575	8.465075478	8.465075478	7.96132185	8.258514318	8.146010155
13346	7.448729526	7.034468864	7.6915034	7.551644586	7.342885015	7.090010882	8.400120078	8.215884291	8.060822679
69080	8.894893911	9.579264122	8.593100779	9.476415292	9.342324541	9.227675655	8.481415555	9.137358522	9.113886043
57814	5.174071214	5.140427443	5.015520147	5.353195893	5.441579058	4.877724899	7.147050472	5.486691549	6.539137836
15463	9.686293209	9.687042971	9.531445583	9.846373172	9.832183272	9.688175834	10.43263458	10.25405088	10.44956392
66153	9.409092667	8.930696946	9.182663956	9.103699365	8.805418234	8.847966089	8.618933951	8.203114603	8.568765892
